GO.ID	Actual	Total	Expected	p_val	p.adj	Term	Gene_Names	Haploblock	Haplotype
GO:0010150	8	9	3.57286432160804	0.000264720135391729	0.0226506636129734	leaf senescence	Ha412HOChr10g0466401,Ha412HOChr10g0467611,Ha412HOChr10g0468321,Ha412HOChr10g0468951,Ha412HOChr10g0468991,Ha412HOChr10g0471221,Ha412HOChr10g0473111,Ha412HOChr10g0476701	ARG_10_01	2
GO:0006355	17	30	11.9095477386935	0.000890068385458833	0.0338225986474357	regulation of transcription, DNA-templated	Ha412HOChr10g0466131,Ha412HOChr10g0467621,Ha412HOChr10g0467851,Ha412HOChr10g0468341,Ha412HOChr10g0469861,Ha412HOChr10g0471121,Ha412HOChr10g0471861,Ha412HOChr10g0472041,Ha412HOChr10g0474741,Ha412HOChr10g0474761,Ha412HOChr10g0474781,Ha412HOChr10g0474841,Ha412HOChr10g0476861,Ha412HOChr10g0477441,Ha412HOChr10g0477751,Ha412HOChr10g0478051,Ha412HOChr10g0478201	ARG_10_01	2
GO:0006355	24	42	18.8104265402844	0.0002367383881477	0.0153879952296005	regulation of transcription, DNA-templated	Ha412HOChr05g0232781,Ha412HOChr05g0233221,Ha412HOChr05g0233661,Ha412HOChr05g0233731,Ha412HOChr05g0233801,Ha412HOChr05g0234081,Ha412HOChr05g0235011,Ha412HOChr05g0235081,Ha412HOChr05g0235111,Ha412HOChr05g0235191,Ha412HOChr05g0235211,Ha412HOChr05g0235351,Ha412HOChr05g0235471,Ha412HOChr05g0236221,Ha412HOChr05g0236411,Ha412HOChr05g0237991,Ha412HOChr05g0238201,Ha412HOChr05g0238471,Ha412HOChr05g0239211,Ha412HOChr05g0239501,Ha412HOChr05g0239941,Ha412HOChr05g0240261,Ha412HOChr05g0243831,Ha412HOChr05g0243951	PETFAL_05_syn1	0
GO:0009809	10	14	6.27014218009479	0.00192654284120321	0.0417417615594029	lignin biosynthetic process	Ha412HOChr05g0233901,Ha412HOChr05g0233911,Ha412HOChr05g0238381,Ha412HOChr05g0238881,Ha412HOChr05g0238891,Ha412HOChr05g0238911,Ha412HOChr05g0238941,Ha412HOChr05g0239081,Ha412HOChr05g0243441,Ha412HOChr05g0243511	PETFAL_05_syn1	0
GO:0006355	16	25	7.53731343283582	7.81749623952943e-06	0.000422144796934589	regulation of transcription, DNA-templated	Ha412HOChr09g0393251,Ha412HOChr09g0393691,Ha412HOChr09g0393851,Ha412HOChr09g0394211,Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771,Ha412HOChr09g0395291,Ha412HOChr09g0397051,Ha412HOChr09g0397251,Ha412HOChr09g0400971,Ha412HOChr09g0401581,Ha412HOChr09g0401931,Ha412HOChr09g0402411,Ha412HOChr09g0403311	PETFAL_09_syn1	0
GO:0045892	6	6	1.8089552238806	0.000137502698818035	0.00371257286808695	negative regulation of transcription, DNA-templated	Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771,Ha412HOChr09g0395661,Ha412HOChr09g0403011	PETFAL_09_syn1	0
GO:0009625	5	5	1.50746268656716	0.000617329824901806	0.00666716210893951	response to insect	Ha412HOChr09g0392941,Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771	PETFAL_09_syn1	0
GO:0009864	5	5	1.50746268656716	0.000617329824901806	0.00666716210893951	induced systemic resistance, jasmonic acid mediated signaling pathway	Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771,Ha412HOChr09g0402791	PETFAL_09_syn1	0
GO:0047484	5	5	1.50746268656716	0.000617329824901806	0.00666716210893951	regulation of response to osmotic stress	Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771,Ha412HOChr09g0395291	PETFAL_09_syn1	0
GO:0010200	6	7	2.11044776119403	0.000780247872362805	0.00702223085126524	response to chitin	Ha412HOChr09g0393251,Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771,Ha412HOChr09g0400081	PETFAL_09_syn1	0
GO:0000302	4	4	1.20597014925373	0.00274934519956268	0.00775662545653882	response to reactive oxygen species	Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771	PETFAL_09_syn1	0
GO:0006970	5	6	1.8089552238806	0.00301646545532065	0.00775662545653882	response to osmotic stress	Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771,Ha412HOChr09g0395291	PETFAL_09_syn1	0
GO:0009617	6	8	2.41194029850746	0.00253169101425986	0.00775662545653882	response to bacterium	Ha412HOChr09g0394361,Ha412HOChr09g0394411,Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771	PETFAL_09_syn1	0
GO:0009682	4	4	1.20597014925373	0.00274934519956268	0.00775662545653882	induced systemic resistance	Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771	PETFAL_09_syn1	0
GO:0009759	4	4	1.20597014925373	0.00274934519956268	0.00775662545653882	indole glucosinolate biosynthetic process	Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771	PETFAL_09_syn1	0
GO:0009862	4	4	1.20597014925373	0.00274934519956268	0.00775662545653882	systemic acquired resistance, salicylic acid mediated signaling pathway	Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771	PETFAL_09_syn1	0
GO:0010104	4	4	1.20597014925373	0.00274934519956268	0.00775662545653882	regulation of ethylene-activated signaling pathway	Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771	PETFAL_09_syn1	0
GO:0010120	4	4	1.20597014925373	0.00274934519956268	0.00775662545653882	camalexin biosynthetic process	Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771	PETFAL_09_syn1	0
GO:0010150	5	6	1.8089552238806	0.00301646545532065	0.00775662545653882	leaf senescence	Ha412HOChr09g0392841,Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771	PETFAL_09_syn1	0
GO:0031347	4	4	1.20597014925373	0.00274934519956268	0.00775662545653882	regulation of defense response	Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771	PETFAL_09_syn1	0
GO:0080151	4	4	1.20597014925373	0.00274934519956268	0.00775662545653882	positive regulation of salicylic acid mediated signaling pathway	Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771	PETFAL_09_syn1	0
GO:0080187	4	4	1.20597014925373	0.00274934519956268	0.00775662545653882	floral organ senescence	Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771	PETFAL_09_syn1	0
GO:1900056	4	4	1.20597014925373	0.00274934519956268	0.00775662545653882	negative regulation of leaf senescence	Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771	PETFAL_09_syn1	0
GO:1900457	4	4	1.20597014925373	0.00274934519956268	0.00775662545653882	regulation of brassinosteroid mediated signaling pathway	Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771	PETFAL_09_syn1	0
GO:0042742	9	16	4.82388059701493	0.00366921025100513	0.00900624334337623	defense response to bacterium	Ha412HOChr09g0392941,Ha412HOChr09g0393041,Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771,Ha412HOChr09g0395661,Ha412HOChr09g0397251,Ha412HOChr09g0401581	PETFAL_09_syn1	0
GO:0045893	5	7	2.11044776119403	0.00860700941271528	0.0193657711786094	positive regulation of transcription, DNA-templated	Ha412HOChr09g0393851,Ha412HOChr09g0395291,Ha412HOChr09g0396431,Ha412HOChr09g0400081,Ha412HOChr09g0403311	PETFAL_09_syn1	0
GO:0071456	5	7	2.11044776119403	0.00860700941271528	0.0193657711786094	cellular response to hypoxia	Ha412HOChr09g0393251,Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771	PETFAL_09_syn1	0
GO:2000022	4	5	1.50746268656716	0.0112774066982062	0.0225548133964124	regulation of jasmonic acid mediated signaling pathway	Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771	PETFAL_09_syn1	0
GO:2000031	4	5	1.50746268656716	0.0112774066982062	0.0225548133964124	regulation of salicylic acid mediated signaling pathway	Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771	PETFAL_09_syn1	0
GO:2000070	4	5	1.50746268656716	0.0112774066982062	0.0225548133964124	regulation of response to water deprivation	Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771	PETFAL_09_syn1	0
GO:0048437	3	3	0.904477611940299	0.0121476170552106	0.0234275471779062	floral organ development	Ha412HOChr09g0393041,Ha412HOChr09g0396721,Ha412HOChr09g0400821	PETFAL_09_syn1	0
GO:0050832	7	14	4.22089552238806	0.023742883003138	0.0442108855920501	defense response to fungus	Ha412HOChr09g0392941,Ha412HOChr09g0393251,Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771,Ha412HOChr09g0399981	PETFAL_09_syn1	0
GO:0010150	6	6	2.32835820895522	0.000438707091107584	0.0129418591876737	leaf senescence	Ha412HOChr09g0392841,Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771,Ha412HOChr09g0400101	PETFAL_09_syn1	2
GO:0009617	7	8	3.1044776119403	0.000725339408199167	0.0136074405173255	response to bacterium	Ha412HOChr09g0394361,Ha412HOChr09g0394411,Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771,Ha412HOChr09g0395761	PETFAL_09_syn1	2
GO:0009625	5	5	1.94029850746269	0.00161444209527591	0.0136074405173255	response to insect	Ha412HOChr09g0392941,Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771	PETFAL_09_syn1	2
GO:0047484	5	5	1.94029850746269	0.00161444209527591	0.0136074405173255	regulation of response to osmotic stress	Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771,Ha412HOChr09g0395291	PETFAL_09_syn1	2
GO:2000022	5	5	1.94029850746269	0.00161444209527591	0.0136074405173255	regulation of jasmonic acid mediated signaling pathway	Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771,Ha412HOChr09g0401911	PETFAL_09_syn1	2
GO:2000070	5	5	1.94029850746269	0.00161444209527591	0.0136074405173255	regulation of response to water deprivation	Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771,Ha412HOChr09g0395811	PETFAL_09_syn1	2
GO:0010200	6	7	2.71641791044776	0.00235984271883361	0.0174038400513979	response to chitin	Ha412HOChr09g0393251,Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771,Ha412HOChr09g0397131	PETFAL_09_syn1	2
GO:0000302	4	4	1.55223880597015	0.00590680798350948	0.017425083551353	response to reactive oxygen species	Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771	PETFAL_09_syn1	2
GO:0009682	4	4	1.55223880597015	0.00590680798350948	0.017425083551353	induced systemic resistance	Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771	PETFAL_09_syn1	2
GO:0009759	4	4	1.55223880597015	0.00590680798350948	0.017425083551353	indole glucosinolate biosynthetic process	Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771	PETFAL_09_syn1	2
GO:0009862	4	4	1.55223880597015	0.00590680798350948	0.017425083551353	systemic acquired resistance, salicylic acid mediated signaling pathway	Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771	PETFAL_09_syn1	2
GO:0010104	4	4	1.55223880597015	0.00590680798350948	0.017425083551353	regulation of ethylene-activated signaling pathway	Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771	PETFAL_09_syn1	2
GO:0010120	4	4	1.55223880597015	0.00590680798350948	0.017425083551353	camalexin biosynthetic process	Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771	PETFAL_09_syn1	2
GO:0031347	4	4	1.55223880597015	0.00590680798350948	0.017425083551353	regulation of defense response	Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771	PETFAL_09_syn1	2
GO:0042742	10	16	6.2089552238806	0.00350018782362084	0.017425083551353	defense response to bacterium	Ha412HOChr09g0392941,Ha412HOChr09g0393041,Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771,Ha412HOChr09g0395241,Ha412HOChr09g0395661,Ha412HOChr09g0397131,Ha412HOChr09g0401911	PETFAL_09_syn1	2
GO:0080151	4	4	1.55223880597015	0.00590680798350948	0.017425083551353	positive regulation of salicylic acid mediated signaling pathway	Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771	PETFAL_09_syn1	2
GO:0080187	4	4	1.55223880597015	0.00590680798350948	0.017425083551353	floral organ senescence	Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771	PETFAL_09_syn1	2
GO:1900056	4	4	1.55223880597015	0.00590680798350948	0.017425083551353	negative regulation of leaf senescence	Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771	PETFAL_09_syn1	2
GO:1900457	4	4	1.55223880597015	0.00590680798350948	0.017425083551353	regulation of brassinosteroid mediated signaling pathway	Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771	PETFAL_09_syn1	2
GO:0006355	13	25	9.70149253731343	0.00777600606038905	0.019947145980998	regulation of transcription, DNA-templated	Ha412HOChr09g0392951,Ha412HOChr09g0393251,Ha412HOChr09g0393691,Ha412HOChr09g0394211,Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771,Ha412HOChr09g0395291,Ha412HOChr09g0397051,Ha412HOChr09g0400971,Ha412HOChr09g0402411,Ha412HOChr09g0403311	PETFAL_09_syn1	2
GO:0006970	5	6	2.32835820895522	0.00749311711611753	0.019947145980998	response to osmotic stress	Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771,Ha412HOChr09g0395291	PETFAL_09_syn1	2
GO:0045892	5	6	2.32835820895522	0.00749311711611753	0.019947145980998	negative regulation of transcription, DNA-templated	Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771,Ha412HOChr09g0395661	PETFAL_09_syn1	2
GO:0009751	6	9	3.49253731343284	0.0167913982076957	0.0381035574713095	response to salicylic acid	Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771,Ha412HOChr09g0397281,Ha412HOChr09g0400101	PETFAL_09_syn1	2
GO:0009753	6	9	3.49253731343284	0.0167913982076957	0.0381035574713095	response to jasmonic acid	Ha412HOChr09g0392941,Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771,Ha412HOChr09g0400101	PETFAL_09_syn1	2
GO:0016567	8	14	5.43283582089552	0.0190187283274444	0.040075177547115	protein ubiquitination	Ha412HOChr09g0392941,Ha412HOChr09g0393031,Ha412HOChr09g0393501,Ha412HOChr09g0395951,Ha412HOChr09g0396781,Ha412HOChr09g0397131,Ha412HOChr09g0400971,Ha412HOChr09g0401911	PETFAL_09_syn1	2
GO:0050832	8	14	5.43283582089552	0.0190187283274444	0.040075177547115	defense response to fungus	Ha412HOChr09g0392941,Ha412HOChr09g0393251,Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771,Ha412HOChr09g0396101,Ha412HOChr09g0401911	PETFAL_09_syn1	2
GO:0006952	3	3	1.16417910447761	0.0214877581762313	0.0408960558837951	defense response	Ha412HOChr09g0392841,Ha412HOChr09g0392941,Ha412HOChr09g0399781	PETFAL_09_syn1	2
GO:0048437	3	3	1.16417910447761	0.0214877581762313	0.0408960558837951	floral organ development	Ha412HOChr09g0393041,Ha412HOChr09g0396721,Ha412HOChr09g0400821	PETFAL_09_syn1	2
GO:0071456	5	7	2.71641791044776	0.0203263031093274	0.0408960558837951	cellular response to hypoxia	Ha412HOChr09g0393251,Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771	PETFAL_09_syn1	2
GO:0009864	4	5	1.94029850746269	0.0230762715364438	0.0412575763833389	induced systemic resistance, jasmonic acid mediated signaling pathway	Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771	PETFAL_09_syn1	2
GO:2000031	4	5	1.94029850746269	0.0230762715364438	0.0412575763833389	regulation of salicylic acid mediated signaling pathway	Ha412HOChr09g0394651,Ha412HOChr09g0394661,Ha412HOChr09g0394731,Ha412HOChr09g0394771	PETFAL_09_syn1	2
GO:0006355	24	57	15.8608695652174	0.000303749583338163	0.0227812187503622	regulation of transcription, DNA-templated	Ha412HOChr11g0480601,Ha412HOChr11g0480931,Ha412HOChr11g0481751,Ha412HOChr11g0481941,Ha412HOChr11g0481981,Ha412HOChr11g0482031,Ha412HOChr11g0482101,Ha412HOChr11g0482311,Ha412HOChr11g0482321,Ha412HOChr11g0483191,Ha412HOChr11g0483381,Ha412HOChr11g0484831,Ha412HOChr11g0485831,Ha412HOChr11g0489391,Ha412HOChr11g0489461,Ha412HOChr11g0489751,Ha412HOChr11g0489921,Ha412HOChr11g0491691,Ha412HOChr11g0491791,Ha412HOChr11g0493021,Ha412HOChr11g0495181,Ha412HOChr11g0495961,Ha412HOChr11g0496511,Ha412HOChr11g0501141	PETFAL_11_syn1	0
