GO.ID	Actual	Total	Expected	p_val	p.adj	Term	Gene_Names	Haploblock
GO:0009809	12	188	1.97118121086846	7.17582019967311e-07	2.00922965590847e-05	lignin biosynthetic process	Ha412HOChr05g0233901,Ha412HOChr05g0233911,Ha412HOChr05g0234561,Ha412HOChr05g0238381,Ha412HOChr05g0238421,Ha412HOChr05g0238881,Ha412HOChr05g0238891,Ha412HOChr05g0238911,Ha412HOChr05g0238941,Ha412HOChr05g0239041,Ha412HOChr05g0239061,Ha412HOChr05g0239081	ANN_05_01
GO:0009862	3	47	0.492795302717115	0.0128216718685478	0.0390224795999281	systemic acquired resistance, salicylic acid mediated signaling pathway	Ha412HOChr05g0235651,Ha412HOChr05g0235691,Ha412HOChr05g0235731	ANN_05_01
GO:0009910	5	88	0.922680566789491	0.00226589352503637	0.0122009651348112	negative regulation of flower development	Ha412HOChr05g0234271,Ha412HOChr05g0236701,Ha412HOChr05g0238731,Ha412HOChr05g0238751,Ha412HOChr05g0239861	ANN_05_01
GO:0009963	10	33	0.346005212546059	9.53052709263309e-13	1.33427379296863e-10	positive regulation of flavonoid biosynthetic process	Ha412HOChr05g0233661,Ha412HOChr05g0238381,Ha412HOChr05g0238421,Ha412HOChr05g0238881,Ha412HOChr05g0238891,Ha412HOChr05g0238911,Ha412HOChr05g0238941,Ha412HOChr05g0239041,Ha412HOChr05g0239061,Ha412HOChr05g0239081	ANN_05_01
GO:0010029	4	93	0.975105598993439	0.0161567210590207	0.045238818965258	regulation of seed germination	Ha412HOChr05g0235961,Ha412HOChr05g0236981,Ha412HOChr05g0237911,Ha412HOChr05g0239271	ANN_05_01
GO:0010048	3	27	0.283095173901321	0.00269326735830163	0.0134663367915082	vernalization response	Ha412HOChr05g0234271,Ha412HOChr05g0238731,Ha412HOChr05g0238751	ANN_05_01
GO:0010208	7	25	0.262125161019742	4.99326765361225e-09	2.33019157168572e-07	pollen wall assembly	Ha412HOChr05g0232011,Ha412HOChr05g0234181,Ha412HOChr05g0236881,Ha412HOChr05g0239441,Ha412HOChr05g0239451,Ha412HOChr05g0239461,Ha412HOChr05g0239481	ANN_05_01
GO:0010222	5	21	0.220185135256583	2.07498479478064e-06	4.84163118782149e-05	stem vascular tissue pattern formation	Ha412HOChr05g0232011,Ha412HOChr05g0239441,Ha412HOChr05g0239451,Ha412HOChr05g0239461,Ha412HOChr05g0239481	ANN_05_01
GO:0010252	10	96	1.00656061831581	6.51292766950347e-08	2.27952468432621e-06	auxin homeostasis	Ha412HOChr05g0235191,Ha412HOChr05g0238381,Ha412HOChr05g0238421,Ha412HOChr05g0238881,Ha412HOChr05g0238891,Ha412HOChr05g0238911,Ha412HOChr05g0238941,Ha412HOChr05g0239041,Ha412HOChr05g0239061,Ha412HOChr05g0239081	ANN_05_01
GO:0010310	3	22	0.230670141697373	0.00147338367273911	0.00982255781826073	regulation of hydrogen peroxide metabolic process	Ha412HOChr05g0235651,Ha412HOChr05g0235691,Ha412HOChr05g0235731	ANN_05_01
GO:0010321	2	12	0.125820077289476	0.00661501709868267	0.025725066494877	regulation of vegetative phase change	Ha412HOChr05g0238731,Ha412HOChr05g0238751	ANN_05_01
GO:0010588	5	39	0.408915251190797	5.03684082548782e-05	0.00064105246869845	cotyledon vascular tissue pattern formation	Ha412HOChr05g0232011,Ha412HOChr05g0239441,Ha412HOChr05g0239451,Ha412HOChr05g0239461,Ha412HOChr05g0239481	ANN_05_01
GO:0010618	3	8	0.0838800515263174	5.96771527760927e-05	0.000696233449054415	aerenchyma formation	Ha412HOChr05g0235651,Ha412HOChr05g0235691,Ha412HOChr05g0235731	ANN_05_01
GO:0019344	3	11	0.115335070848686	0.000171807459328177	0.00185023417738037	cysteine biosynthetic process	Ha412HOChr05g0234051,Ha412HOChr05g0234061,Ha412HOChr05g0234071	ANN_05_01
GO:0019499	3	6	0.062910038644738	2.16454432924915e-05	0.000336706895660979	cyanide metabolic process	Ha412HOChr05g0234051,Ha412HOChr05g0234061,Ha412HOChr05g0234071	ANN_05_01
GO:0019500	3	5	0.0524250322039484	1.09067966709966e-05	0.000218135933419932	cyanide catabolic process	Ha412HOChr05g0234051,Ha412HOChr05g0234061,Ha412HOChr05g0234071	ANN_05_01
GO:0019761	3	46	0.482310296276325	0.0120945244515068	0.0376274094046878	glucosinolate biosynthetic process	Ha412HOChr05g0231111,Ha412HOChr05g0231331,Ha412HOChr05g0231351	ANN_05_01
GO:0032446	2	15	0.157275096611845	0.0103102226973815	0.0352056384788637	protein modification by small protein conjugation	Ha412HOChr05g0237851,Ha412HOChr05g0239561	ANN_05_01
GO:0032504	2	7	0.0733950450855277	0.00217823564350128	0.0121981196036072	multicellular organism reproduction	Ha412HOChr05g0231301,Ha412HOChr05g0236181	ANN_05_01
GO:0033500	2	16	0.167760103052635	0.0117029600951507	0.0372366912118431	carbohydrate homeostasis	Ha412HOChr05g0238641,Ha412HOChr05g0238701	ANN_05_01
GO:0034059	2	14	0.146790090171055	0.00899677772526331	0.0331460231983385	response to anoxia	Ha412HOChr05g0231161,Ha412HOChr05g0231541	ANN_05_01
GO:0035435	2	18	0.188730115934214	0.0147192314647688	0.0429310917722423	phosphate ion transmembrane transport	Ha412HOChr05g0238451,Ha412HOChr05g0238841	ANN_05_01
GO:0046521	2	3	0.031455019322369	0.000319868604839678	0.00248786692653083	sphingoid catabolic process	Ha412HOChr05g0234871,Ha412HOChr05g0234891	ANN_05_01
GO:0048317	3	21	0.220185135256583	0.00128227235474343	0.00897590648320401	seed morphogenesis	Ha412HOChr05g0231321,Ha412HOChr05g0238461,Ha412HOChr05g0239501	ANN_05_01
GO:0048467	3	43	0.450855276953956	0.0100587997369238	0.0352056384788637	gynoecium development	Ha412HOChr05g0232611,Ha412HOChr05g0235191,Ha412HOChr05g0236881	ANN_05_01
GO:0048510	4	58	0.608130373565801	0.00311060248210258	0.0145161449164787	regulation of timing of transition from vegetative to reproductive phase	Ha412HOChr05g0235011,Ha412HOChr05g0235321,Ha412HOChr05g0238731,Ha412HOChr05g0238751	ANN_05_01
GO:0050777	2	9	0.094365057967107	0.00368316325811884	0.0156255410950496	negative regulation of immune response	Ha412HOChr05g0238521,Ha412HOChr05g0238531	ANN_05_01
GO:0050829	4	57	0.597645367125011	0.00291961111897737	0.014094674367477	defense response to Gram-negative bacterium	Ha412HOChr05g0235651,Ha412HOChr05g0235691,Ha412HOChr05g0235731,Ha412HOChr05g0239921	ANN_05_01
GO:0051410	3	6	0.062910038644738	2.16454432924915e-05	0.000336706895660979	detoxification of nitrogen compound	Ha412HOChr05g0234051,Ha412HOChr05g0234061,Ha412HOChr05g0234071	ANN_05_01
GO:0060866	4	17	0.178245109493424	2.43726652790977e-05	0.000341217313907368	leaf abscission	Ha412HOChr05g0235651,Ha412HOChr05g0235691,Ha412HOChr05g0235731,Ha412HOChr05g0239921	ANN_05_01
GO:0071281	3	48	0.503280309157904	0.0135733132226817	0.0404311457696902	cellular response to iron ion	Ha412HOChr05g0231381,Ha412HOChr05g0231411,Ha412HOChr05g0231441	ANN_05_01
GO:0080147	4	54	0.566190347802642	0.0023949731902252	0.0124183795048714	root hair cell development	Ha412HOChr05g0231621,Ha412HOChr05g0234051,Ha412HOChr05g0234061,Ha412HOChr05g0234071	ANN_05_01
GO:0090042	2	3	0.031455019322369	0.000319868604839678	0.00248786692653083	tubulin deacetylation	Ha412HOChr05g0232371,Ha412HOChr05g0232381	ANN_05_01
GO:0106146	3	45	0.471825289835535	0.0113917526617141	0.0372366912118431	sideretin biosynthesis	Ha412HOChr05g0231381,Ha412HOChr05g0231411,Ha412HOChr05g0231441	ANN_05_01
GO:1900865	3	35	0.366975225427638	0.00566927720569992	0.0226771088227997	chloroplast RNA modification	Ha412HOChr05g0232801,Ha412HOChr05g0234611,Ha412HOChr05g0235891	ANN_05_01
GO:1901656	5	6	0.062910038644738	6.95495246320234e-10	4.86846672424164e-08	glycoside transport	Ha412HOChr05g0232011,Ha412HOChr05g0239441,Ha412HOChr05g0239451,Ha412HOChr05g0239461,Ha412HOChr05g0239481	ANN_05_01
GO:0000290	2	16	0.201312123663162	0.0164739413179403	0.0419819794876543	deadenylation-dependent decapping of nuclear-transcribed mRNA	Ha412HOChr11g0495761,Ha412HOChr11g0495781	ANN_11_01
GO:0000706	3	8	0.100656061831581	0.000101839110372876	0.00123773687991649	meiotic DNA double-strand break processing	Ha412HOChr11g0492721,Ha412HOChr11g0492731,Ha412HOChr11g0492751	ANN_11_01
GO:0001708	3	29	0.364878224139481	0.00547631265135644	0.0188099434546591	cell fate specification	Ha412HOChr11g0492221,Ha412HOChr11g0492231,Ha412HOChr11g0492241	ANN_11_01
GO:0006006	4	26	0.327132200952638	0.000282892441841267	0.00200480155086796	glucose metabolic process	Ha412HOChr11g0493571,Ha412HOChr11g0493651,Ha412HOChr11g0496531,Ha412HOChr11g0496551	ANN_11_01
GO:0006259	3	15	0.188730115934214	0.000775555725380516	0.0043763501646472	DNA metabolic process	Ha412HOChr11g0492721,Ha412HOChr11g0492731,Ha412HOChr11g0492751	ANN_11_01
GO:0006468	80	2347	29.52997213984	1.29525099429981e-16	1.02324828549685e-14	protein phosphorylation	Ha412HOChr11g0487991,Ha412HOChr11g0488071,Ha412HOChr11g0488561,Ha412HOChr11g0489351,Ha412HOChr11g0489361,Ha412HOChr11g0489581,Ha412HOChr11g0489611,Ha412HOChr11g0489821,Ha412HOChr11g0490371,Ha412HOChr11g0490381,Ha412HOChr11g0490391,Ha412HOChr11g0490421,Ha412HOChr11g0490471,Ha412HOChr11g0490481,Ha412HOChr11g0490501,Ha412HOChr11g0490511,Ha412HOChr11g0490531,Ha412HOChr11g0490561,Ha412HOChr11g0490571,Ha412HOChr11g0490621,Ha412HOChr11g0490651,Ha412HOChr11g0490661,Ha412HOChr11g0490681,Ha412HOChr11g0490741,Ha412HOChr11g0490751,Ha412HOChr11g0490771,Ha412HOChr11g0490791,Ha412HOChr11g0490801,Ha412HOChr11g0490811,Ha412HOChr11g0490881,Ha412HOChr11g0490891,Ha412HOChr11g0490921,Ha412HOChr11g0490961,Ha412HOChr11g0491021,Ha412HOChr11g0491051,Ha412HOChr11g0491061,Ha412HOChr11g0491121,Ha412HOChr11g0491141,Ha412HOChr11g0491231,Ha412HOChr11g0491241,Ha412HOChr11g0491251,Ha412HOChr11g0491261,Ha412HOChr11g0491301,Ha412HOChr11g0491321,Ha412HOChr11g0491441,Ha412HOChr11g0491451,Ha412HOChr11g0491461,Ha412HOChr11g0492211,Ha412HOChr11g0492641,Ha412HOChr11g0493061,Ha412HOChr11g0493091,Ha412HOChr11g0493311,Ha412HOChr11g0493481,Ha412HOChr11g0493491,Ha412HOChr11g0493501,Ha412HOChr11g0493791,Ha412HOChr11g0494081,Ha412HOChr11g0494091,Ha412HOChr11g0494111,Ha412HOChr11g0494121,Ha412HOChr11g0494151,Ha412HOChr11g0494211,Ha412HOChr11g0494221,Ha412HOChr11g0494251,Ha412HOChr11g0495201,Ha412HOChr11g0495211,Ha412HOChr11g0496141,Ha412HOChr11g0496201,Ha412HOChr11g0496221,Ha412HOChr11g0496231,Ha412HOChr11g0496251,Ha412HOChr11g0496301,Ha412HOChr11g0496351,Ha412HOChr11g0496371,Ha412HOChr11g0496521,Ha412HOChr11g0496791,Ha412HOChr11g0496851,Ha412HOChr11g0497121,Ha412HOChr11g0497151,Ha412HOChr11g0497171	ANN_11_01
GO:0006479	3	10	0.125820077289476	0.000214219879738306	0.0017814074209817	protein methylation	Ha412HOChr11g0489521,Ha412HOChr11g0489601,Ha412HOChr11g0495321	ANN_11_01
GO:0006540	2	11	0.138402085018424	0.00786597918544642	0.0248564942260107	glutamate decarboxylation to succinate	Ha412HOChr11g0496661,Ha412HOChr11g0496671	ANN_11_01
GO:0006863	3	20	0.251640154578952	0.00185563182470699	0.00792404941361363	purine nucleobase transport	Ha412HOChr11g0492341,Ha412HOChr11g0492361,Ha412HOChr11g0492391	ANN_11_01
GO:0006891	5	66	0.830412510110542	0.00138795866222907	0.00644992554800568	intra-Golgi vesicle-mediated transport	Ha412HOChr11g0489731,Ha412HOChr11g0489741,Ha412HOChr11g0490011,Ha412HOChr11g0490541,Ha412HOChr11g0491941	ANN_11_01
GO:0007129	3	30	0.377460231868428	0.00602938808306155	0.0202690067473133	synapsis	Ha412HOChr11g0492721,Ha412HOChr11g0492731,Ha412HOChr11g0492751	ANN_11_01
GO:0007131	4	55	0.692010425092118	0.00486415543914816	0.017466739986032	reciprocal meiotic recombination	Ha412HOChr11g0492721,Ha412HOChr11g0492731,Ha412HOChr11g0492751,Ha412HOChr11g0493441	ANN_11_01
GO:0009299	4	22	0.276804170036847	0.000143963056767137	0.00149457498497785	mRNA transcription	Ha412HOChr11g0494591,Ha412HOChr11g0494621,Ha412HOChr11g0494641,Ha412HOChr11g0497231	ANN_11_01
GO:0009450	2	11	0.138402085018424	0.00786597918544642	0.0248564942260107	gamma-aminobutyric acid catabolic process	Ha412HOChr11g0496661,Ha412HOChr11g0496671	ANN_11_01
GO:0009653	3	12	0.150984092747371	0.000385534291941221	0.0025381007552797	anatomical structure morphogenesis	Ha412HOChr11g0494751,Ha412HOChr11g0494761,Ha412HOChr11g0495091	ANN_11_01
GO:0009861	12	35	0.440370270513166	7.46960232228927e-15	2.95049291730426e-13	jasmonic acid and ethylene-dependent systemic resistance	Ha412HOChr11g0487911,Ha412HOChr11g0488011,Ha412HOChr11g0488031,Ha412HOChr11g0488051,Ha412HOChr11g0488131,Ha412HOChr11g0488141,Ha412HOChr11g0488311,Ha412HOChr11g0488401,Ha412HOChr11g0488411,Ha412HOChr11g0488421,Ha412HOChr11g0488451,Ha412HOChr11g0488461	ANN_11_01
GO:0009932	4	29	0.364878224139481	0.000436403452858283	0.00272177275496932	cell tip growth	Ha412HOChr11g0493171,Ha412HOChr11g0493181,Ha412HOChr11g0493201,Ha412HOChr11g0493221	ANN_11_01
GO:0010026	4	35	0.440370270513166	0.000907206971397988	0.00478758804514942	trichome differentiation	Ha412HOChr11g0493171,Ha412HOChr11g0493181,Ha412HOChr11g0493201,Ha412HOChr11g0493221	ANN_11_01
GO:0010053	5	52	0.654264401905275	0.000465113065722606	0.00272177275496932	root epidermal cell differentiation	Ha412HOChr11g0489141,Ha412HOChr11g0493171,Ha412HOChr11g0493181,Ha412HOChr11g0493201,Ha412HOChr11g0493221	ANN_11_01
GO:0010152	4	48	0.603936370989485	0.0029701626480676	0.011732142459867	pollen maturation	Ha412HOChr11g0494381,Ha412HOChr11g0494391,Ha412HOChr11g0495301,Ha412HOChr11g0497221	ANN_11_01
GO:0010218	7	93	1.17012671879213	0.000164556760972333	0.0015294098960958	response to far red light	Ha412HOChr11g0492461,Ha412HOChr11g0492471,Ha412HOChr11g0492491,Ha412HOChr11g0492501,Ha412HOChr11g0492521,Ha412HOChr11g0492551,Ha412HOChr11g0492571	ANN_11_01
GO:0010222	5	21	0.2642221623079	4.99537055490255e-06	7.89268547674603e-05	stem vascular tissue pattern formation	Ha412HOChr11g0492111,Ha412HOChr11g0492121,Ha412HOChr11g0492191,Ha412HOChr11g0492201,Ha412HOChr11g0492251	ANN_11_01
GO:0010345	5	47	0.591354363260537	0.000288815979633398	0.00200480155086796	suberin biosynthetic process	Ha412HOChr11g0492111,Ha412HOChr11g0492121,Ha412HOChr11g0492191,Ha412HOChr11g0492201,Ha412HOChr11g0492251	ANN_11_01
GO:0010411	7	73	0.918486564213175	3.5000237843734e-05	0.00048785443669876	xyloglucan metabolic process	Ha412HOChr11g0492461,Ha412HOChr11g0492471,Ha412HOChr11g0492491,Ha412HOChr11g0492501,Ha412HOChr11g0492521,Ha412HOChr11g0492551,Ha412HOChr11g0492571	ANN_11_01
GO:0010442	4	6	0.0754920463736856	3.45646434606022e-07	7.80173380967878e-06	guard cell morphogenesis	Ha412HOChr11g0493171,Ha412HOChr11g0493181,Ha412HOChr11g0493201,Ha412HOChr11g0493221	ANN_11_01
GO:0010588	5	39	0.490698301428957	0.000117600282956215	0.001327203193363	cotyledon vascular tissue pattern formation	Ha412HOChr11g0492111,Ha412HOChr11g0492121,Ha412HOChr11g0492191,Ha412HOChr11g0492201,Ha412HOChr11g0492251	ANN_11_01
GO:0015908	5	21	0.2642221623079	4.99537055490255e-06	7.89268547674603e-05	fatty acid transport	Ha412HOChr11g0492111,Ha412HOChr11g0492121,Ha412HOChr11g0492191,Ha412HOChr11g0492201,Ha412HOChr11g0492251	ANN_11_01
GO:0016554	3	41	0.515862316886852	0.0143211567805043	0.0390128064020634	cytidine to uridine editing	Ha412HOChr11g0489241,Ha412HOChr11g0494771,Ha412HOChr11g0495081	ANN_11_01
GO:0019827	3	21	0.2642221623079	0.00214507856847083	0.00891901088995766	stem cell population maintenance	Ha412HOChr11g0492221,Ha412HOChr11g0492231,Ha412HOChr11g0492241	ANN_11_01
GO:0030029	3	9	0.113238069560528	0.000151349365567377	0.00149457498497785	actin filament-based process	Ha412HOChr11g0494751,Ha412HOChr11g0494761,Ha412HOChr11g0495091	ANN_11_01
GO:0030174	2	8	0.100656061831581	0.0041044708179991	0.0150815439359037	regulation of DNA-dependent DNA replication initiation	Ha412HOChr11g0487881,Ha412HOChr11g0487891	ANN_11_01
GO:0030322	2	14	0.176148108205266	0.012698603776257	0.0351996385376948	stabilization of membrane potential	Ha412HOChr11g0492701,Ha412HOChr11g0492711	ANN_11_01
GO:0030638	2	3	0.0377460231868428	0.000458292548852935	0.00272177275496932	polyketide metabolic process	Ha412HOChr11g0494381,Ha412HOChr11g0494391	ANN_11_01
GO:0032259	6	95	1.19529073425002	0.00121724257637081	0.00601013522083087	methylation	Ha412HOChr11g0487711,Ha412HOChr11g0487731,Ha412HOChr11g0487741,Ha412HOChr11g0487761,Ha412HOChr11g0487771,Ha412HOChr11g0493801	ANN_11_01
GO:0032456	2	9	0.113238069560528	0.00523393409012245	0.0183769241386522	endocytic recycling	Ha412HOChr11g0493741,Ha412HOChr11g0496731	ANN_11_01
GO:0033384	3	11	0.138402085018424	0.000291838200442804	0.00200480155086796	geranyl diphosphate biosynthetic process	Ha412HOChr11g0494481,Ha412HOChr11g0494541,Ha412HOChr11g0494551	ANN_11_01
GO:0033962	3	25	0.31455019322369	0.0035757166606584	0.013451505532953	cytoplasmic mRNA processing body assembly	Ha412HOChr11g0495761,Ha412HOChr11g0495781,Ha412HOChr11g0497701	ANN_11_01
GO:0034090	3	6	0.0754920463736856	3.705223569864e-05	0.00048785443669876	maintenance of meiotic sister chromatid cohesion	Ha412HOChr11g0492721,Ha412HOChr11g0492731,Ha412HOChr11g0492751	ANN_11_01
GO:0035494	2	10	0.125820077289476	0.00648886264271848	0.021359172865615	SNARE complex disassembly	Ha412HOChr11g0489731,Ha412HOChr11g0489741	ANN_11_01
GO:0042138	3	19	0.239058146850004	0.00159187386984613	0.0071861734695911	meiotic DNA double-strand break formation	Ha412HOChr11g0492721,Ha412HOChr11g0492731,Ha412HOChr11g0492751	ANN_11_01
GO:0042255	2	16	0.201312123663162	0.0164739413179403	0.0419819794876543	ribosome assembly	Ha412HOChr11g0488431,Ha412HOChr11g0488441	ANN_11_01
GO:0042335	5	65	0.817830502381594	0.00129583994882166	0.00620432460344916	cuticle development	Ha412HOChr11g0492111,Ha412HOChr11g0492121,Ha412HOChr11g0492191,Ha412HOChr11g0492201,Ha412HOChr11g0492251	ANN_11_01
GO:0042372	2	13	0.163566100476319	0.0109739747386345	0.0321090371982269	phylloquinone biosynthetic process	Ha412HOChr11g0497651,Ha412HOChr11g0497661	ANN_11_01
GO:0042546	7	96	1.20787274197897	0.000200556233849842	0.00176043805268195	cell wall biogenesis	Ha412HOChr11g0492461,Ha412HOChr11g0492471,Ha412HOChr11g0492491,Ha412HOChr11g0492501,Ha412HOChr11g0492521,Ha412HOChr11g0492551,Ha412HOChr11g0492571	ANN_11_01
GO:0043001	2	7	0.0880740541026332	0.00310381289109254	0.0119610350437225	Golgi to plasma membrane protein transport	Ha412HOChr11g0489731,Ha412HOChr11g0489741	ANN_11_01
GO:0045087	6	162	2.03828525208951	0.0160977118504673	0.0419819794876543	innate immune response	Ha412HOChr11g0490891,Ha412HOChr11g0491061,Ha412HOChr11g0491441,Ha412HOChr11g0494221,Ha412HOChr11g0495761,Ha412HOChr11g0495781	ANN_11_01
GO:0045088	12	32	0.402624247326323	2.0902462415318e-15	1.10086302054008e-13	regulation of innate immune response	Ha412HOChr11g0487911,Ha412HOChr11g0488011,Ha412HOChr11g0488031,Ha412HOChr11g0488051,Ha412HOChr11g0488131,Ha412HOChr11g0488141,Ha412HOChr11g0488311,Ha412HOChr11g0488401,Ha412HOChr11g0488411,Ha412HOChr11g0488421,Ha412HOChr11g0488451,Ha412HOChr11g0488461	ANN_11_01
GO:0045337	3	11	0.138402085018424	0.000291838200442804	0.00200480155086796	farnesyl diphosphate biosynthetic process	Ha412HOChr11g0494481,Ha412HOChr11g0494541,Ha412HOChr11g0494551	ANN_11_01
GO:0045732	2	16	0.201312123663162	0.0164739413179403	0.0419819794876543	positive regulation of protein catabolic process	Ha412HOChr11g0487921,Ha412HOChr11g0494301	ANN_11_01
