Term	distance	Annotation
GO:0016824	3	hydrolase activity, acting on acid halide bonds
GO:0016825	3	hydrolase activity, acting on acid phosphorus-nitrogen bonds
GO:0016826	3	hydrolase activity, acting on acid sulfur-nitrogen bonds
GO:0016827	3	hydrolase activity, acting on acid carbon-phosphorus bonds
GO:0016828	3	hydrolase activity, acting on acid sulfur-sulfur bonds
GO:0017171	3	serine hydrolase activity
GO:0019213	3	deacetylase activity
GO:0019239	3	deaminase activity
GO:0031964	3	beta-alanyl-histamine hydrolase activity
GO:0046508	3	hydrolase activity, acting on carbon-sulfur bonds
GO:0051747	3	cytosine C-5 DNA demethylase activity
GO:0052770	3	coenzyme F390-A hydrolase activity
GO:0052771	3	coenzyme F390-G hydrolase activity
GO:0098599	3	palmitoyl hydrolase activity
GO:0101005	3	ubiquitinyl hydrolase activity
GO:0004325	3	ferrochelatase activity
GO:0016830	3	carbon-carbon lyase activity
GO:0016835	3	carbon-oxygen lyase activity
GO:0016840	3	carbon-nitrogen lyase activity
GO:0016846	3	carbon-sulfur lyase activity
GO:0016848	3	carbon-halide lyase activity
GO:0016849	3	phosphorus-oxygen lyase activity
GO:0016852	3	sirohydrochlorin cobaltochelatase activity
GO:0018835	3	carbon phosphorus lyase activity
GO:0018836	3	alkylmercury lyase activity
GO:0043729	3	2-amino-5-formylamino-6-(5-phosphoribosylamino)pyrimidin-4(3H)-one formate-lyase activity
GO:0043779	3	cobalt-precorrin-5A acetaldehyde-lyase activity
GO:0047720	3	indoleacetaldoxime dehydratase activity
GO:0002952	3	(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase activity
GO:0003916	3	DNA topoisomerase activity
GO:0008719	3	dihydroneopterin triphosphate 2'-epimerase activity
GO:0009385	3	N-acylmannosamine-6-phosphate 2-epimerase activity
GO:0016854	3	racemase and epimerase activity
GO:0016859	3	cis-trans isomerase activity
GO:0016860	3	intramolecular oxidoreductase activity
GO:0016866	3	intramolecular transferase activity
GO:0016872	3	intramolecular lyase activity
GO:0043800	3	hexulose-6-phosphate isomerase activity
GO:0050335	3	thiocyanate isomerase activity
GO:0051120	3	hepoxilin A3 synthase activity
GO:0061593	3	sulfoquinovose isomerase activity
GO:0070284	3	4-amino-5-hydroxymethyl-2-methylpyrimidine phosphate synthase activity
GO:0097260	3	eoxin A4 synthase activity
GO:0140226	3	RNA topoisomerase activity
GO:0003833	3	beta-alanyl-dopamine synthase activity
GO:0008754	3	O antigen ligase activity
GO:0016875	3	ligase activity, forming carbon-oxygen bonds
GO:0016877	3	ligase activity, forming carbon-sulfur bonds
GO:0016879	3	ligase activity, forming carbon-nitrogen bonds
GO:0016885	3	ligase activity, forming carbon-carbon bonds
GO:0016886	3	ligase activity, forming phosphoric ester bonds
GO:0045438	3	delta-(L-alpha-aminoadipyl)-L-cysteinyl-D-valine synthetase activity
GO:0051002	3	ligase activity, forming nitrogen-metal bonds
GO:0103016	3	tRNA-specific 2-thiouridylase activity
GO:0004162	3	dimethylnitrosamine demethylase activity
GO:0008398	3	sterol 14-demethylase activity
GO:0018487	3	vanillate O-demethylase (anaerobic) activity
GO:0018489	3	vanillate monooxygenase activity
GO:0032452	3	histone demethylase activity
GO:0035514	3	DNA demethylase activity
GO:0098608	3	methylselenol demethylase activity
GO:0003796	3	lysozyme activity
GO:0008745	3	N-acetylmuramoyl-L-alanine amidase activity
GO:0008933	3	lytic transglycosylase activity
GO:0061784	3	peptidoglycan N-acetylglucosaminidase activity
GO:0061785	3	peptidoglycan endopeptidase activity
GO:0003756	3	protein disulfide isomerase activity
GO:0003755	3	peptidyl-prolyl cis-trans isomerase activity
GO:0004149	3	dihydrolipoyllysine-residue succinyltransferase activity
GO:0004597	3	peptide-aspartate beta-dioxygenase activity
GO:0004598	3	peptidylamidoglycolate lyase activity
GO:0004653	3	polypeptide N-acetylgalactosaminyltransferase activity
GO:0004672	3	protein kinase activity
GO:0004720	3	protein-lysine 6-oxidase activity
GO:0004721	3	phosphoprotein phosphatase activity
GO:0004742	3	dihydrolipoyllysine-residue acetyltransferase activity
GO:0004835	3	tubulin-tyrosine ligase activity
GO:0008276	3	protein methyltransferase activity
GO:0008318	3	protein prenyltransferase activity
GO:0008474	3	palmitoyl-(protein) hydrolase activity
GO:0008476	3	protein-tyrosine sulfotransferase activity
GO:0008568	3	microtubule-severing ATPase activity
GO:0008770	3	[acyl-carrier-protein] phosphodiesterase activity
GO:0008773	3	[protein-PII] uridylyltransferase activity
GO:0008961	3	phosphatidylglycerol-prolipoprotein diacylglyceryl transferase activity
GO:0016262	3	protein N-acetylglucosaminyltransferase activity
GO:0016755	3	transferase activity, transferring amino-acyl groups
GO:0016979	3	lipoate-protein ligase activity
GO:0018031	3	peptidyl-lysine N6-palmitoyltransferase activity
GO:0018271	3	biotin-protein ligase activity
GO:0019707	3	protein-cysteine S-acyltransferase activity
GO:0030158	3	protein xylosyltransferase activity
GO:0031543	3	peptidyl-proline dioxygenase activity
GO:0033558	3	protein deacetylase activity
GO:0033823	3	procollagen glucosyltransferase activity
GO:0033830	3	Skp1-protein-hydroxyproline N-acetylglucosaminyltransferase activity
GO:0035605	3	peptidyl-cysteine S-nitrosylase activity
GO:0036139	3	peptidyl-histidine dioxygenase activity
GO:0036140	3	peptidyl-asparagine 3-dioxygenase activity
GO:0036524	3	protein deglycase activity
GO:0044603	3	protein adenylylhydrolase activity
GO:0046922	3	peptide-O-fucosyltransferase activity
GO:0047187	3	deacetyl-[citrate-(pro-3S)-lyase] S-acetyltransferase activity
GO:0047211	3	alpha-1,4-glucan-protein synthase (ADP-forming) activity
GO:0047388	3	[glutamine synthetase]-adenylyl-L-tyrosine phosphorylase
GO:0047402	3	protein-glucosylgalactosylhydroxylysine glucosidase activity
GO:0050169	3	peptide-tryptophan 2,3-dioxygenase activity
GO:0050211	3	procollagen galactosyltransferase activity
GO:0051723	3	protein methylesterase activity
GO:0061607	3	peptide alpha-N-propionyltransferase activity
GO:0070735	3	protein-glycine ligase activity
GO:0070739	3	protein-glutamic acid ligase activity
GO:0070815	3	peptidyl-lysine 5-dioxygenase activity
GO:0102193	3	protein-ribulosamine 3-kinase activity
GO:0102194	3	protein-fructosamine 3-kinase activity
GO:0103039	3	protein methylthiotransferase activity
GO:0140103	3	catalytic activity, acting on a glycoprotein
GO:1990404	3	protein ADP-ribosylase activity
GO:0000150	3	recombinase activity
GO:0036310	3	annealing helicase activity
GO:0003678	3	DNA helicase activity
GO:0003906	3	DNA-(apurinic or apyrimidinic site) endonuclease activity
GO:0003909	3	DNA ligase activity
GO:0003912	3	DNA nucleotidylexotransferase activity
GO:0003913	3	DNA photolyase activity
GO:0004536	3	deoxyribonuclease activity
GO:0004803	3	transposase activity
GO:0019104	3	DNA N-glycosylase activity
GO:0008907	3	integrase activity
GO:0009008	3	DNA-methyltransferase activity
GO:0015616	3	DNA translocase activity
GO:0033677	3	DNA/RNA helicase activity
GO:0033820	3	DNA alpha-glucosyltransferase activity
GO:0033821	3	DNA beta-glucosyltransferase activity
GO:0033958	3	DNA-deoxyinosine glycosylase activity
GO:0033959	3	deoxyribodipyrimidine endonucleosidase activity
GO:0034061	3	DNA polymerase activity
GO:0043336	3	site-specific telomere resolvase activity
GO:0044825	3	retroviral strand transfer activity
GO:0051575	3	5'-deoxyribose-5-phosphate lyase activity
GO:0070259	3	tyrosyl-DNA phosphodiesterase activity
GO:0090580	3	phosphodiesterase activity, acting on 3'-phosphoglycolate-terminated DNA strands
GO:0000384	3	first spliceosomal transesterification activity
GO:0000386	3	second spliceosomal transesterification activity
GO:0003724	3	RNA helicase activity
GO:0004540	3	ribonuclease activity
GO:0008452	3	RNA ligase activity
GO:0008173	3	RNA methyltransferase activity
GO:0030597	3	RNA glycosylase activity
GO:0036317	3	tyrosyl-RNA phosphodiesterase activity
GO:0050265	3	RNA uridylyltransferase activity
GO:0097747	3	RNA polymerase activity
GO:0098680	3	template-free RNA nucleotidyltransferase
GO:0106032	3	snRNA pseudouridine synthase activity
GO:0120159	3	rRNA pseudouridine synthase activity
GO:0140101	3	catalytic activity, acting on a tRNA
GO:0140102	3	catalytic activity, acting on a rRNA
GO:0034188	3	apolipoprotein A-I receptor activity
GO:0005041	3	low-density lipoprotein particle receptor activity
GO:0030229	3	very-low-density lipoprotein particle receptor activity
GO:0070506	3	high-density lipoprotein particle receptor activity
GO:0150025	3	oxidised low-density lipoprotein particle receptor activity
GO:0035615	3	clathrin adaptor activity
GO:1990915	3	structural constituent of ascospore wall
GO:0098699	3	structural constituent of presynaptic actin cytoskeleton
GO:0098973	3	structural constituent of postsynaptic actin cytoskeleton
GO:0099184	3	structural constituent of postsynaptic intermediate filament cytoskeleton
GO:0030023	3	extracellular matrix constituent conferring elasticity
GO:0030020	3	extracellular matrix structural constituent conferring tensile strength
GO:0030021	3	extracellular matrix structural constituent conferring compression resistance
GO:0030197	3	extracellular matrix constituent, lubricant activity
GO:0150043	3	structural constituent of synapse-associated extracellular matrix
GO:0030281	3	structural constituent of cutaneous appendage
GO:0005078	3	MAP-kinase scaffold activity
GO:0030159	3	receptor signaling complex scaffold activity
GO:0008316	3	structural constituent of vitelline membrane
GO:0005214	3	structural constituent of chitin-based cuticle
GO:0042329	3	structural constituent of collagen and cuticulin-based cuticle
GO:0099181	3	structural constituent of presynapse
GO:0099186	3	structural constituent of postsynapse
GO:0005275	3	amine transmembrane transporter activity
GO:0005342	3	organic acid transmembrane transporter activity
GO:0010290	3	chlorophyll catabolite transmembrane transporter activity
GO:0015075	3	ion transmembrane transporter activity
GO:0015144	3	carbohydrate transmembrane transporter activity
GO:0015152	3	glucose-6-phosphate transmembrane transporter activity
GO:0015203	3	polyamine transmembrane transporter activity
GO:0015205	3	nucleobase transmembrane transporter activity
GO:0051184	3	cofactor transmembrane transporter activity
GO:0090482	3	vitamin transmembrane transporter activity
GO:0015238	3	drug transmembrane transporter activity
GO:0042887	3	amide transmembrane transporter activity
GO:0015318	3	inorganic molecular entity transmembrane transporter activity
GO:0015562	3	efflux transmembrane transporter activity
GO:0015548	3	organomercurial transmembrane transporter activity
GO:0015603	3	iron chelate transmembrane transporter activity
GO:0015604	3	organic phosphonate transmembrane transporter activity
GO:0015605	3	organophosphate ester transmembrane transporter activity
GO:0015621	3	ferric triacetylfusarinine C transmembrane transporter activity
GO:0015932	3	nucleobase-containing compound transmembrane transporter activity
GO:0017077	3	oxidative phosphorylation uncoupler activity
GO:0019534	3	toxin transmembrane transporter activity
GO:0022803	3	passive transmembrane transporter activity
GO:0022804	3	active transmembrane transporter activity
GO:0022884	3	macromolecule transmembrane transporter activity
GO:0033569	3	lactoferrin transmembrane transporter activity
GO:0042910	3	xenobiotic transmembrane transporter activity
GO:0042971	3	lactone transmembrane transporter activity
GO:0071917	3	triose-phosphate transmembrane transporter activity
GO:0072349	3	modified amino acid transmembrane transporter activity
GO:0080161	3	auxin transmembrane transporter activity
GO:1901375	3	acetate ester transmembrane transporter activity
GO:1901474	3	azole transmembrane transporter activity
GO:1901505	3	carbohydrate derivative transmembrane transporter activity
GO:1901513	3	lipo-chitin oligosaccharide transmembrane transporter activity
GO:1901515	3	poly-beta-1,6-N-acetyl-D-glucosamine transmembrane transporter activity
GO:1901682	3	sulfur compound transmembrane transporter activity
GO:0005324	3	long-chain fatty acid transporter activity
GO:0005548	3	phospholipid transporter activity
GO:0015125	3	bile acid transmembrane transporter activity
GO:0015221	3	lipopolysaccharide transmembrane transporter activity
GO:0015245	3	fatty acid transmembrane transporter activity
GO:0015248	3	sterol transporter activity
GO:0034040	3	lipid-transporting ATPase activity
GO:0034632	3	retinol transmembrane transporter activity
GO:0042897	3	polymyxin transmembrane transporter activity
GO:0046624	3	sphingolipid transporter activity
GO:0090440	3	abscisic acid transmembrane transporter activity
GO:0120013	3	intermembrane lipid transfer activity
GO:1905201	3	gibberellin transmembrane transporter activity
GO:0001761	3	beta-alanine transmembrane transporter activity
GO:0005277	3	acetylcholine transmembrane transporter activity
GO:0005313	3	L-glutamate transmembrane transporter activity
GO:0005328	3	neurotransmitter:sodium symporter activity
GO:0015183	3	L-aspartate transmembrane transporter activity
GO:0015185	3	gamma-aminobutyric acid transmembrane transporter activity
GO:0015187	3	glycine transmembrane transporter activity
GO:0015220	3	choline transmembrane transporter activity
GO:0030184	3	nitric oxide transmembrane transporter activity
GO:0070907	3	histidine:histamine antiporter activity
GO:0070908	3	tyrosine:tyramine antiporter activity
GO:0008320	3	protein transmembrane transporter activity
GO:0032977	3	membrane insertase activity
GO:0042954	3	lipoprotein transporter activity
GO:0044183	3	protein binding involved in protein folding
GO:0051082	3	unfolded protein binding
