Term	distance	Annotation
GO:0031395	2	bursicon neuropeptide hormone complex
GO:0031422	2	RecQ helicase-Topo III complex
GO:0031431	2	Dbf4-dependent protein kinase complex
GO:0031499	2	TRAMP complex
GO:0031511	2	Mis6-Sim4 complex
GO:0031518	2	CBF3 complex
GO:0031519	2	PcG protein complex
GO:0031521	2	spitzenkorper
GO:0031522	2	cell envelope Sec protein transport complex
GO:0031523	2	Myb complex
GO:0031617	2	NMS complex
GO:0031680	2	G-protein beta/gamma-subunit complex
GO:0031838	2	haptoglobin-hemoglobin complex
GO:0031931	2	TORC1 complex
GO:0031932	2	TORC2 complex
GO:0031941	2	filamentous actin
GO:0032039	2	integrator complex
GO:0032045	2	guanyl-nucleotide exchange factor complex
GO:0032116	2	SMC loading complex
GO:0032299	2	ribonuclease H2 complex
GO:0032311	2	angiogenin-PRI complex
GO:0032449	2	CBM complex
GO:0032517	2	SOD1-calcineurin complex
GO:0032545	2	CURI complex
GO:0032766	2	NHE3/E3KARP/ACTN4 complex
GO:0032797	2	SMN complex
GO:0032807	2	DNA ligase IV complex
GO:0032992	2	protein-carbohydrate complex
GO:0032993	2	protein-DNA complex
GO:0032994	2	protein-lipid complex
GO:0032996	2	Bcl3-Bcl10 complex
GO:0033061	2	DNA recombinase mediator complex
GO:0033104	2	type VI protein secretion system complex
GO:0033186	2	CAF-1 complex
GO:0033193	2	Lsd1/2 complex
GO:0033256	2	I-kappaB/NF-kappaB complex
GO:0033551	2	monopolin complex
GO:0033557	2	Slx1-Slx4 complex
GO:0033588	2	Elongator holoenzyme complex
GO:0033593	2	BRCA2-MAGE-D1 complex
GO:0033596	2	TSC1-TSC2 complex
GO:0033597	2	mitotic checkpoint complex
GO:0033607	2	SOD1-Bcl-2 complex
GO:0034044	2	exomer complex
GO:0034064	2	Tor2-Mei2-Ste11 complex
GO:0034099	2	luminal surveillance complex
GO:0034270	2	Cvt complex
GO:0034388	2	Pwp2p-containing subcomplex of 90S preribosome
GO:0034455	2	t-UTP complex
GO:0034456	2	UTP-C complex
GO:0034457	2	Mpp10 complex
GO:0034464	2	BBSome
GO:0034518	2	RNA cap binding complex
GO:0034657	2	GID complex
GO:0034663	2	endoplasmic reticulum chaperone complex
GO:0034692	2	E.F.G complex
GO:0034716	2	Gemin3-Gemin4-Gemin5 complex
GO:0034717	2	Gemin6-Gemin7-unrip complex
GO:0034741	2	APC-tubulin-IQGAP1 complex
GO:0034743	2	APC-IQGAP complex
GO:0034744	2	APC-IQGAP1-Cdc42 complex
GO:0034745	2	APC-IQGAP1-Rac1 complex
GO:0034746	2	APC-IQGAP1-CLIP-170 complex
GO:0034748	2	Par3-APC-KIF3A complex
GO:0034749	2	Scrib-APC complex
GO:0034750	2	Scrib-APC-beta-catenin complex
GO:0034973	2	Sid2-Mob1 complex
GO:0034974	2	Swi5-Swi2 complex
GO:0034977	2	ABIN2-NFKB1-MAP3K8 complex
GO:0034978	2	PDX1-PBX1b-MRG1 complex
GO:0034996	2	RasGAP-Fyn-Lyn-Yes complex
GO:0035059	2	RCAF complex
GO:0035145	2	exon-exon junction complex
GO:0035301	2	Hedgehog signaling complex
GO:0035649	2	Nrd1 complex
GO:0035658	2	Mon1-Ccz1 complex
GO:0035693	2	NOS2-CD74 complex
GO:0035808	2	meiotic recombination initiation complex
GO:0035859	2	Seh1-associated complex
GO:0036038	2	MKS complex
GO:0036125	2	fatty acid beta-oxidation multienzyme complex
GO:0036284	2	tubulobulbar complex
GO:0036286	2	eisosome filament
GO:0036375	2	Kibra-Ex-Mer complex
GO:0036398	2	TCR signalosome
GO:0036452	2	ESCRT complex
GO:0036454	2	growth factor complex
GO:0036501	2	UFD1-NPL4 complex
GO:0038045	2	large latent transforming growth factor-beta complex
GO:0038059	2	IKKalpha-IKKalpha complex
GO:0039658	2	TBK1-IKKE-DDX3 complex
GO:0042272	2	nuclear RNA export factor complex
GO:0042555	2	MCM complex
GO:0043235	2	receptor complex
GO:0043240	2	Fanconi anaemia nuclear complex
GO:0043256	2	laminin complex
GO:0043291	2	RAVE complex
GO:0043293	2	apoptosome
GO:0043493	2	viral terminase complex
GO:0043511	2	inhibin complex
GO:0043514	2	interleukin-12 complex
GO:0043529	2	GET complex
GO:0043564	2	Ku70:Ku80 complex
GO:0043684	2	type IV secretion system complex
GO:0043845	2	DNA polymerase III, proofreading complex
GO:0043846	2	DNA polymerase III, clamp loader complex
GO:0043847	2	DNA polymerase III, clamp loader chi/psi subcomplex
GO:0043850	2	RecFOR complex
GO:0044609	2	DBIRD complex
GO:0044611	2	nuclear pore inner ring
GO:0044612	2	nuclear pore linkers
GO:0044614	2	nuclear pore cytoplasmic filaments
GO:0044615	2	nuclear pore nuclear basket
GO:0044672	2	acetyl-CoA decarbonylase/synthase-carbon monoxide dehydrogenase complex
GO:0044675	2	formyl-methanofuran dehydrogenase (tungsten enzyme) complex
GO:0044676	2	formyl-methanofuran dehydrogenase (molybdenum enzyme) complex
GO:0044677	2	methyl-tetrahydromethanopterin:coenzyme M methyltransferase complex
GO:0044697	2	HICS complex
GO:0044776	2	DNA polymerase III, core complex
GO:0044796	2	DNA polymerase processivity factor complex
GO:0044815	2	DNA packaging complex
GO:0044816	2	Nsk1-Dlc1 complex
GO:0045239	2	tricarboxylic acid cycle enzyme complex
GO:0045293	2	mRNA editing complex
GO:0045298	2	tubulin complex
GO:0046536	2	dosage compensation complex
GO:0046798	2	viral portal complex
GO:0046806	2	viral scaffold
GO:0048180	2	activin complex
GO:0048189	2	Lid2 complex
GO:0048476	2	Holliday junction resolvase complex
GO:0055087	2	Ski complex
GO:0061574	2	ASAP complex
GO:0061576	2	acyl-CoA ceramide synthase complex
GO:0061671	2	Cbp3p-Cbp6 complex
GO:0061696	2	pituitary gonadotropin complex
GO:0061700	2	GATOR2 complex
GO:0061702	2	inflammasome complex
GO:0061703	2	pyroptosome complex
GO:0061838	2	CENP-T-W-S-X complex
GO:0061927	2	TOC-TIC supercomplex I
GO:0061957	2	NVT complex
GO:0062048	2	lymphotoxin complex
GO:0062049	2	protein phosphatase inhibitor complex
GO:0062073	2	histone mRNA stem-loop binding complex
GO:0070069	2	cytochrome complex
GO:0070209	2	ASTRA complex
GO:0070214	2	CSK-GAP-A.p62 complex
GO:0070274	2	RES complex
GO:0070288	2	ferritin complex
GO:0070310	2	ATR-ATRIP complex
GO:0070313	2	RGS6-DNMT1-DMAP1 complex
GO:0070331	2	CD20-Lck-Fyn complex
GO:0070332	2	CD20-Lck-Lyn-Fyn complex
GO:0070353	2	GATA1-TAL1-TCF3-Lmo2 complex
GO:0070354	2	GATA2-TAL1-TCF3-Lmo2 complex
GO:0070385	2	egasyn-beta-glucuronidase complex
GO:0070390	2	transcription export complex 2
GO:0070421	2	DNA ligase III-XRCC1 complex
GO:0070422	2	G-protein beta/gamma-Raf-1 complex
GO:0070441	2	G-protein beta/gamma-Btk complex
GO:0070467	2	RC-1 DNA recombination complex
GO:0070516	2	CAK-ERCC2 complex
GO:0070517	2	DNA replication factor C core complex
GO:0070531	2	BRCA1-A complex
GO:0070532	2	BRCA1-B complex
GO:0070533	2	BRCA1-C complex
GO:0070545	2	PeBoW complex
GO:0070552	2	BRISC complex
GO:0070557	2	PCNA-p21 complex
GO:0070559	2	lysosomal multienzyme complex
GO:0070693	2	P-TEFb-cap methyltransferase complex
GO:0070695	2	FHF complex
GO:0070743	2	interleukin-23 complex
GO:0070744	2	interleukin-27 complex
GO:0070745	2	interleukin-35 complex
GO:0070762	2	nuclear pore transmembrane ring
GO:0070767	2	BRCA1-Rad51 complex
GO:0070826	2	paraferritin complex
GO:0070850	2	TACC/TOG complex
GO:0070864	2	sperm individualization complex
GO:0070876	2	SOSS complex
GO:0070937	2	CRD-mediated mRNA stability complex
GO:0071075	2	CUGBP1-eIF2 complex
GO:0071141	2	SMAD protein complex
GO:0071147	2	TEAD-2 multiprotein complex
GO:0071152	2	G-protein alpha(q)-synembrin complex
GO:0071153	2	G-protein alpha(o)-synembrin complex
GO:0071154	2	G-protein alpha(i)1-synembrin complex
GO:0071155	2	G-protein alpha(13)-synembrin complex
GO:0071159	2	NF-kappaB complex
GO:0071175	2	MAML2-RBP-Jkappa-ICN1 complex
GO:0071176	2	MAML2-RBP-Jkappa-ICN2 complex
GO:0071177	2	MAML2-RBP-Jkappa-ICN3 complex
GO:0071178	2	MAML2-RBP-Jkappa-ICN4 complex
GO:0071179	2	MAML3-RBP-Jkappa-ICN1 complex
GO:0071180	2	MAML3-RBP-Jkappa-ICN2 complex
GO:0071181	2	MAML3-RBP-Jkappa-ICN3 complex
GO:0071182	2	MAML3-RBP-Jkappa-ICN4 complex
GO:0071203	2	WASH complex
GO:0071521	2	Cdc42 GTPase complex
GO:0071563	2	Myo2p-Vac17p-Vac8p transport complex
GO:0071664	2	catenin-TCF7L2 complex
GO:0071817	2	MMXD complex
GO:0071819	2	DUBm complex
GO:0071821	2	FANCM-MHF complex
GO:0072379	2	ER membrane insertion complex
GO:0072669	2	tRNA-splicing ligase complex
GO:0089701	2	U2AF
GO:0089713	2	Cbf1-Met4-Met28 complex
GO:0090443	2	FAR/SIN/STRIPAK complex
GO:0090665	2	glycoprotein complex
GO:0097057	2	TRAF2-GSTP1 complex
GO:0097058	2	CRLF-CLCF1 complex
GO:0097059	2	CNTFR-CLCF1 complex
GO:0097071	2	interferon regulatory factor complex
GO:0097076	2	transforming growth factor beta activated kinase 1 complex
GO:0097078	2	FAL1-SGD1 complex
GO:0097136	2	Bcl-2 family protein complex
GO:0097149	2	centralspindlin complex
GO:0097255	2	R2TP complex
GO:0097344	2	Rix1 complex
GO:0097347	2	TAM protein secretion complex
GO:0097361	2	CIA complex
GO:0097373	2	MCM core complex
GO:0097452	2	GAIT complex
GO:0097495	2	H-NS-Hha complex
GO:0097537	2	Y-shaped link
GO:0097539	2	ciliary transition fiber
GO:0097619	2	PTEX complex
GO:0097710	2	viral terminase, small subunit
GO:0098046	2	type V protein secretion system complex
GO:0098561	2	methyl accepting chemotaxis protein complex
GO:0098636	2	protein complex involved in cell adhesion
GO:0098644	2	complex of collagen trimers
GO:0098654	2	CENP-A recruiting complex
GO:0098733	2	hemidesmosome associated protein complex
GO:0098774	2	curli
GO:0098796	2	membrane protein complex
GO:0098798	2	mitochondrial protein complex
GO:0098820	2	trans-synaptic protein complex
GO:0099023	2	tethering complex
GO:0099053	2	activating signal cointegrator 1 complex
GO:0099078	2	BORC complex
GO:0099126	2	transforming growth factor beta complex
GO:0099128	2	mitochondrial iron-sulfur cluster assembly complex
GO:0101031	2	chaperone complex
GO:0106002	2	mCRD-mediated mRNA stability complex
GO:0106003	2	amyloid-beta complex
GO:0106093	2	EDS1 disease-resistance complex
GO:0110078	2	TTT complex
GO:0120099	2	procentriole replication complex
GO:0120103	2	centriolar subdistal appendage
GO:0120114	2	Sm-like protein family complex
GO:0120124	2	membrane fusion priming complex
GO:0120155	2	MIH complex
GO:0120171	2	Cdc24p-Far1p-Gbetagamma complex
GO:0140007	2	KICSTOR complex
GO:0140224	2	SLAC complex
GO:0140225	2	DNA topoisomerase I-TDRD3 complex
GO:0150005	2	enzyme activator complex
GO:1902494	2	catalytic complex
GO:1902695	2	metallochaperone complex
GO:1903269	2	ornithine carbamoyltransferase inhibitor complex
GO:1903502	2	translation repressor complex
GO:1903503	2	ATPase inhibitor complex
GO:1904090	2	peptidase inhibitor complex
GO:1990062	2	RPAP3/R2TP/prefoldin-like complex
GO:1990065	2	Dxr protein complex
GO:1990078	2	replication inhibiting complex
GO:1990100	2	DnaB-DnaC complex
GO:1990104	2	DNA bending complex
GO:1990112	2	RQC complex
GO:1990125	2	DiaA complex
GO:1990130	2	GATOR1 complex
GO:1990131	2	Gtr1-Gtr2 GTPase complex
GO:1990143	2	CoA-synthesizing protein complex
GO:1990200	2	SsuD-SsuE complex
GO:1990221	2	L-cysteine desulfurase complex
GO:1990229	2	iron-sulfur cluster assembly complex
GO:1990249	2	nucleotide-excision repair, DNA damage recognition complex
GO:1990252	2	Syp1 complex
GO:1990298	2	bub1-bub3 complex
GO:1990315	2	Mcs4 RR-MAPKKK complex
GO:1990328	2	RPB4-RPB7 complex
GO:1990333	2	mitotic checkpoint complex, CDC20-MAD2 subcomplex
GO:1990341	2	thrombospondin complex
GO:1990345	2	MTREC complex
GO:1990346	2	BID-BCL-xl complex
GO:1990351	2	transporter complex
GO:1990356	2	sumoylated E2 ligase complex
GO:1990391	2	DNA repair complex
GO:1990393	2	3M complex
GO:1990415	2	Pex17p-Pex14p docking complex
GO:1990423	2	RZZ complex
GO:1990453	2	nucleosome disassembly/reassembly complex
GO:1990463	2	lateral cortical node
GO:1990469	2	Rhino-Deadlock-Cutoff Complex
GO:1990477	2	NURS complex
GO:1990499	2	raps-insc complex
GO:1990509	2	PYM-mago-Y14 complex
GO:1990526	2	Ste12p-Dig1p-Dig2p complex
GO:1990527	2	Tec1p-Ste12p-Dig1p complex
GO:1990528	2	Rvs161p-Rvs167p complex
GO:1990533	2	Dom34-Hbs1 complex
GO:1990563	2	extracellular exosome complex
GO:1990586	2	divisome complex
GO:1990597	2	AIP1-IRE1 complex
GO:1990615	2	Kelch-containing formin regulatory complex
GO:1990622	2	CHOP-ATF3 complex
GO:1990630	2	IRE1-RACK1-PP2A complex
GO:1990660	2	calprotectin complex
GO:1990661	2	S100A8 complex
GO:1990665	2	AnxA2-p11 complex
GO:1990666	2	PCSK9-LDLR complex
GO:1990667	2	PCSK9-AnxA2 complex
GO:1990682	2	CSF1-CSF1R complex
GO:1990684	2	protein-lipid-RNA complex
GO:1990696	2	USH2 complex
GO:1990706	2	MAD1 complex
GO:1990713	2	survivin complex
GO:1990727	2	tubulin folding cofactor complex
GO:1990728	2	mitotic spindle assembly checkpoint MAD1-MAD2 complex
GO:1990730	2	VCP-NSFL1C complex
GO:1990733	2	titin-telethonin complex
GO:1990745	2	EARP complex
GO:1990788	2	GLI-SUFU complex
GO:1990811	2	MWP complex
GO:1990861	2	Ubp3-Bre5 deubiquitination complex
GO:1990871	2	Vma12-Vma22 assembly complex
GO:1990909	2	Wnt signalosome
GO:1990923	2	PET complex
GO:1990957	2	NPHP complex
GO:1990964	2	actin cytoskeleton-regulatory complex
GO:0005929	2	cilium
GO:0043227	2	membrane-bounded organelle
GO:0043228	2	non-membrane-bounded organelle
GO:0043229	2	intracellular organelle
GO:0043230	2	extracellular organelle
GO:0097597	2	ventral disc
GO:0099572	2	postsynaptic specialization
GO:0018995	2	host
GO:0033643	2	host cell part
GO:0043655	2	extracellular space of host
GO:0044216	2	other organism cell
GO:0044279	2	other organism membrane
GO:0085036	2	extrahaustorial matrix
GO:0085040	2	extra-invasive hyphal space
GO:0106139	2	symbiont cell surface
GO:0005615	2	extracellular space
GO:0010367	2	extracellular isoamylase complex
GO:0016942	2	insulin-like growth factor binding protein complex
GO:0020004	2	symbiont-containing vacuolar space
GO:0020005	2	symbiont-containing vacuole membrane
GO:0020006	2	symbiont-containing vacuolar membrane network
GO:0031012	2	extracellular matrix
GO:0034358	2	plasma lipoprotein particle
GO:0035182	2	female germline ring canal outer rim
GO:0035183	2	female germline ring canal inner rim
GO:0036117	2	hyaluranon cable
GO:0042571	2	immunoglobulin complex, circulating
GO:0043245	2	extraorganismal space
GO:0044420	2	extracellular matrix component
GO:0045171	2	intercellular bridge
GO:0070289	2	extracellular ferritin complex
GO:0070701	2	mucus layer
GO:0072562	2	blood microparticle
GO:0000313	2	organellar ribosome
GO:0030094	2	plasma membrane-derived photosystem I
GO:0030096	2	plasma membrane-derived thylakoid photosystem II
GO:0031300	2	intrinsic component of organelle membrane
GO:0031676	2	plasma membrane-derived thylakoid membrane
GO:0032420	2	stereocilium
GO:0032426	2	stereocilium tip
GO:0044232	2	organelle membrane contact site
GO:0044441	2	ciliary part
GO:0044446	2	intracellular organelle part
GO:0044449	2	contractile fiber part
GO:0044461	2	bacterial-type flagellum part
GO:0044695	2	Dsc E3 ubiquitin ligase complex
GO:0048493	2	plasma membrane-derived thylakoid ribulose bisphosphate carboxylase complex
GO:0060091	2	kinocilium
GO:0060171	2	stereocilium membrane
GO:0097591	2	ventral disc lateral crest
GO:0097592	2	ventral disc overlap zone
GO:0097593	2	ventral disc microtubule array
GO:0097594	2	ventral disc dorsal microribbon
GO:0097595	2	ventral disc crossbridge
GO:0097596	2	ventral disc supernumerary microtubule array
GO:0098576	2	lumenal side of membrane
GO:0098892	2	extrinsic component of postsynaptic specialization membrane
GO:0098948	2	intrinsic component of postsynaptic specialization membrane
GO:0099091	2	postsynaptic specialization, intracellular component
GO:0099634	2	postsynaptic specialization membrane
GO:0120043	2	stereocilium shaft
GO:0120044	2	stereocilium base
GO:1990070	2	TRAPPI protein complex
GO:1990121	2	H-NS complex
GO:1990177	2	IHF-DNA complex
GO:1990178	2	HU-DNA complex
GO:1990500	2	eif4e-cup complex
GO:0019013	2	viral nucleocapsid
GO:0019015	2	viral genome
GO:0019028	2	viral capsid
GO:0019033	2	viral tegument
GO:0036338	2	viral membrane
GO:0039624	2	viral outer capsid
GO:0039625	2	viral inner capsid
GO:0039626	2	viral intermediate capsid
GO:0046727	2	capsomere
GO:0046729	2	viral procapsid
GO:0098015	2	virus tail
GO:0098019	2	virus tail, major subunit
GO:0098020	2	virus tail, minor subunit
GO:0098021	2	viral capsid, decoration
GO:0098023	2	virus tail, tip
GO:0098024	2	virus tail, fiber
GO:0098025	2	virus tail, baseplate
GO:0098026	2	virus tail, tube
GO:0098027	2	virus tail, sheath
GO:0098028	2	virus tail, shaft
GO:0098029	2	icosahedral viral capsid, spike
GO:0098030	2	icosahedral viral capsid, neck
GO:0098031	2	icosahedral viral capsid, collar
GO:0098061	2	viral capsid, internal space
GO:0019898	2	extrinsic component of membrane
GO:0005640	2	nuclear outer membrane
GO:0005905	2	clathrin-coated pit
GO:0031224	2	intrinsic component of membrane
GO:0044453	2	nuclear membrane part
GO:0044455	2	mitochondrial membrane part
GO:0044459	2	plasma membrane part
GO:0070057	2	prospore membrane spindle pole body attachment site
GO:0070469	2	respiratory chain
GO:0097478	2	leaflet of membrane bilayer
GO:0098552	2	side of membrane
GO:0008021	2	synaptic vesicle
GO:0030129	2	clathrin coat of synaptic vesicle
GO:0030672	2	synaptic vesicle membrane
GO:0034592	2	synaptic vesicle lumen
GO:0044326	2	dendritic spine neck
GO:0044327	2	dendritic spine head
GO:0048786	2	presynaptic active zone
GO:0061846	2	dendritic spine cytoplasm
GO:0071212	2	subsynaptic reticulum
GO:0097060	2	synaptic membrane
GO:0097444	2	spine apparatus
GO:0097445	2	presynaptic active zone dense projection
GO:0098563	2	intrinsic component of synaptic vesicle membrane
GO:0098682	2	arciform density
GO:0098793	2	presynapse
GO:0098794	2	postsynapse
GO:0098830	2	presynaptic endosome
GO:0098831	2	presynaptic active zone cytoplasmic component
GO:0098833	2	presynaptic endocytic zone
GO:0098834	2	presynaptic endocytic zone cytoplasmic component
GO:0098843	2	postsynaptic endocytic zone
GO:0098845	2	postsynaptic endosome
GO:0098850	2	extrinsic component of synaptic vesicle membrane
GO:0098895	2	postsynaptic endosome membrane
GO:0098897	2	spine apparatus membrane
GO:0098899	2	spine apparatus lumen
GO:0098929	2	extrinsic component of spine apparatus membrane
GO:0098949	2	intrinsic component of postsynaptic endosome membrane
GO:0098952	2	intrinsic component of spine apparatus membrane
GO:0098954	2	presynaptic endosome membrane
GO:0098955	2	intrinsic component of presynaptic endosome membrane
GO:0098965	2	extracellular matrix of synaptic cleft
GO:0098999	2	extrinsic component of postsynaptic endosome membrane
GO:0099007	2	extrinsic component of presynaptic endosome membrane
GO:0099240	2	intrinsic component of synaptic membrane
GO:0099243	2	extrinsic component of synaptic membrane
GO:0099523	2	presynaptic cytosol
GO:0099524	2	postsynaptic cytosol
GO:0099569	2	presynaptic cytoskeleton
GO:0099571	2	postsynaptic cytoskeleton
GO:0099631	2	postsynaptic endocytic zone cytoplasmic component
GO:0150004	2	dendritic spine origin
GO:0150051	2	postsynaptic Golgi apparatus
GO:1990013	2	presynaptic grid
GO:1990780	2	cytoplasmic side of dendritic spine plasma membrane
GO:0005622	2	intracellular
GO:0005642	2	annulate lamellae
GO:0005933	2	cellular bud
GO:0005966	2	cyclic-nucleotide phosphodiesterase complex
GO:0008287	2	protein serine/threonine phosphatase complex
GO:0009347	2	aspartate carbamoyltransferase complex
GO:0009349	2	riboflavin synthase complex
