Term	distance	Annotation
GO:0001776	2	leukocyte homeostasis
GO:0002200	2	somatic diversification of immune receptors
GO:0002252	2	immune effector process
GO:0002253	2	activation of immune response
GO:0002262	2	myeloid cell homeostasis
GO:0002339	2	B cell selection
GO:0002404	2	antigen sampling in mucosal-associated lymphoid tissue
GO:0002440	2	production of molecular mediator of immune response
GO:0002507	2	tolerance induction
GO:0002520	2	immune system development
GO:0002682	2	regulation of immune system process
GO:0002683	2	negative regulation of immune system process
GO:0002684	2	positive regulation of immune system process
GO:0006955	2	immune response
GO:0019882	2	antigen processing and presentation
GO:0031294	2	lymphocyte costimulation
GO:0035172	2	hemocyte proliferation
GO:0042386	2	hemocyte differentiation
GO:0045058	2	T cell selection
GO:0045321	2	leukocyte activation
GO:0050900	2	leukocyte migration
GO:0090713	2	immunological memory process
GO:0006792	2	regulation of sulfur utilization
GO:0045882	2	negative regulation of sulfur utilization
GO:0045883	2	positive regulation of sulfur utilization
GO:0006795	2	regulation of phosphorus utilization
GO:0045942	2	negative regulation of phosphorus utilization
GO:0045949	2	positive regulation of phosphorus utilization
GO:0001545	2	primary ovarian follicle growth
GO:0001546	2	preantral ovarian follicle growth
GO:0001550	2	ovarian cumulus expansion
GO:0016049	2	cell growth
GO:0007117	2	budding cell bud growth
GO:0030447	2	filamentous growth
GO:0040008	2	regulation of growth
GO:0042702	2	uterine wall growth
GO:0044110	2	growth involved in symbiotic interaction
GO:0045926	2	negative regulation of growth
GO:0045927	2	positive regulation of growth
GO:0048589	2	developmental growth
GO:0080189	2	primary growth
GO:0080190	2	lateral growth
GO:0002209	2	behavioral defense response
GO:0002210	2	behavioral response to wounding
GO:0007611	2	learning or memory
GO:0007622	2	rhythmic behavior
GO:0007625	2	grooming behavior
GO:0007626	2	locomotory behavior
GO:0030537	2	larval behavior
GO:0007631	2	feeding behavior
GO:0007632	2	visual behavior
GO:0007635	2	chemosensory behavior
GO:0007638	2	mechanosensory behavior
GO:0030534	2	adult behavior
GO:0019098	2	reproductive behavior
GO:0032537	2	host-seeking behavior
GO:0035187	2	hatching behavior
GO:0035640	2	exploration behavior
GO:0040040	2	thermosensory behavior
GO:0042630	2	behavioral response to water deprivation
GO:0048266	2	behavioral response to pain
GO:0048520	2	positive regulation of behavior
GO:0048521	2	negative regulation of behavior
GO:0050795	2	regulation of behavior
GO:0051705	2	multi-organism behavior
GO:0051780	2	behavioral response to nutrient
GO:0051867	2	general adaptation syndrome, behavioral process
GO:0060273	2	crying behavior
GO:0060756	2	foraging behavior
GO:0061744	2	motor behavior
GO:0071625	2	vocalization behavior
GO:0001833	2	inner cell mass cell proliferation
GO:0001834	2	trophectodermal cell proliferation
GO:0002174	2	mammary stem cell proliferation
GO:0002941	2	synoviocyte proliferation
GO:0003419	2	growth plate cartilage chondrocyte proliferation
GO:0008284	2	positive regulation of cell proliferation
GO:0008285	2	negative regulation of cell proliferation
GO:0010463	2	mesenchymal cell proliferation
GO:0014009	2	glial cell proliferation
GO:0033002	2	muscle cell proliferation
GO:0033687	2	osteoblast proliferation
GO:0035726	2	common myeloid progenitor cell proliferation
GO:0035736	2	cell proliferation involved in compound eye morphogenesis
GO:0035988	2	chondrocyte proliferation
GO:0036093	2	germ cell proliferation
GO:0042127	2	regulation of cell proliferation
GO:0044340	2	canonical Wnt signaling pathway involved in regulation of cell proliferation
GO:0048134	2	germ-line cyst formation
GO:0048144	2	fibroblast proliferation
GO:0050673	2	epithelial cell proliferation
GO:0051450	2	myoblast proliferation
GO:0060722	2	cell proliferation involved in embryonic placenta development
GO:0061323	2	cell proliferation involved in heart morphogenesis
GO:0061351	2	neural precursor cell proliferation
GO:0070341	2	fat cell proliferation
GO:0070661	2	leukocyte proliferation
GO:0071335	2	hair follicle cell proliferation
GO:0071838	2	cell proliferation in bone marrow
GO:0072089	2	stem cell proliferation
GO:0072111	2	cell proliferation involved in kidney development
GO:0090255	2	cell proliferation involved in imaginal disc-derived wing morphogenesis
GO:0097360	2	chorionic trophoblast cell proliferation
GO:1990654	2	sebum secreting cell proliferation
GO:2000793	2	cell proliferation involved in heart valve development
GO:0043610	2	regulation of carbohydrate utilization
GO:0007059	2	chromosome segregation
GO:0007017	2	microtubule-based process
GO:0000075	2	cell cycle checkpoint
GO:0000920	2	septum digestion after cytokinesis
GO:0001775	2	cell activation
GO:0010496	2	intercellular transport
GO:0006457	2	protein folding
GO:0007165	2	signal transduction
GO:0006903	2	vesicle targeting
GO:0006276	2	plasmid maintenance
GO:0006928	2	movement of cell or subcellular component
GO:0006949	2	syncytium formation
GO:0007049	2	cell cycle
GO:0007154	2	cell communication
GO:0007163	2	establishment or maintenance of cell polarity
GO:0007272	2	ensheathment of neurons
GO:0008219	2	cell death
GO:0008037	2	cell recognition
GO:0019835	2	cytolysis
GO:0010118	2	stomatal movement
GO:0016037	2	light absorption
GO:0016043	2	cellular component organization
GO:0016458	2	gene silencing
GO:0019725	2	cellular homeostasis
GO:0022402	2	cell cycle process
GO:0022406	2	membrane docking
GO:0022412	2	cellular process involved in reproduction in multicellular organism
GO:0030029	2	actin filament-based process
GO:0032196	2	transposition
GO:0032940	2	secretion by cell
GO:0033059	2	cellular pigmentation
GO:0034337	2	RNA folding
GO:0035212	2	cell competition in a multicellular organism
GO:0035638	2	signal maturation
GO:0036166	2	phenotypic switching
GO:0043335	2	protein unfolding
GO:0044663	2	establishment or maintenance of cell type involved in phenotypic switching
GO:0044764	2	multi-organism cellular process
GO:0045103	2	intermediate filament-based process
GO:0048522	2	positive regulation of cellular process
GO:0048523	2	negative regulation of cellular process
GO:0048869	2	cellular developmental process
GO:0050794	2	regulation of cellular process
GO:0051301	2	cell division
GO:0051651	2	maintenance of location in cell
GO:0051716	2	cellular response to stimulus
GO:0060242	2	contact inhibition
GO:0060352	2	cell adhesion molecule production
GO:0061919	2	process utilizing autophagic mechanism
GO:0071554	2	cell wall organization or biogenesis
GO:0071804	2	cellular potassium ion transport
GO:0090618	2	DNA clamp unloading
GO:0097194	2	execution phase of apoptosis
GO:0097528	2	execution phase of necroptosis
GO:0140029	2	exocytic process
GO:0140253	2	cell-cell fusion
GO:1990748	2	cellular detoxification
GO:0043609	2	regulation of carbon utilization
GO:0006808	2	regulation of nitrogen utilization
GO:0019676	2	ammonia assimilation cycle
GO:0045847	2	negative regulation of nitrogen utilization
GO:0045848	2	positive regulation of nitrogen utilization
GO:0000728	2	gene conversion at mating-type locus, DNA double-strand break formation
GO:0000734	2	gene conversion at mating-type locus, DNA repair synthesis
GO:0000742	2	karyogamy involved in conjugation with cellular fusion
GO:0000743	2	nuclear migration involved in conjugation with cellular fusion
GO:0002077	2	acrosome matrix dispersal
GO:0003006	2	developmental process involved in reproduction
GO:0007299	2	ovarian follicle cell-cell adhesion
GO:0007300	2	ovarian nurse cell to oocyte transport
GO:0007303	2	cytoplasmic transport, nurse cell to oocyte
GO:0007316	2	pole plasm RNA localization
GO:0007318	2	pole plasm protein localization
GO:0007340	2	acrosome reaction
GO:0007343	2	egg activation
GO:0007344	2	pronuclear fusion
GO:0007534	2	gene conversion at mating-type locus
GO:0007543	2	sex determination, somatic-gonadal interaction
GO:0007566	2	embryo implantation
GO:0009566	2	fertilization
GO:0009846	2	pollen germination
GO:0009856	2	pollination
GO:0009859	2	pollen hydration
GO:0009875	2	pollen-pistil interaction
GO:0009876	2	pollen adhesion
GO:0010069	2	zygote asymmetric cytokinesis in embryo sac
GO:0010183	2	pollen tube guidance
GO:0010344	2	seed oilbody biogenesis
GO:0010588	2	cotyledon vascular tissue pattern formation
GO:0010708	2	heteroduplex formation involved in gene conversion at mating-type locus
GO:0018985	2	pronuclear envelope synthesis
GO:0022413	2	reproductive process in single-celled organism
GO:0022602	2	ovulation cycle process
GO:0030709	2	border follicle cell delamination
GO:0030720	2	oocyte localization involved in germarium-derived egg chamber formation
GO:0031292	2	gene conversion at mating-type locus, DNA double-strand break processing
GO:0032219	2	cell wall macromolecule catabolic process involved in cytogamy
GO:0032220	2	plasma membrane fusion involved in cytogamy
GO:0034624	2	DNA recombinase assembly involved in gene conversion at mating-type locus
GO:0034636	2	strand invasion involved in gene conversion at mating-type locus
GO:0035036	2	sperm-egg recognition
GO:0035037	2	sperm entry
GO:0035038	2	female pronucleus assembly
GO:0035039	2	male pronucleus assembly
GO:0035040	2	sperm nuclear envelope removal
GO:0035041	2	sperm chromatin decondensation
GO:0035042	2	fertilization, exchange of chromosomal proteins
GO:0035044	2	sperm aster formation
GO:0035046	2	pronuclear migration
GO:0035471	2	luteinizing hormone signaling pathway involved in ovarian follicle development
GO:0043093	2	FtsZ-dependent cytokinesis
GO:0044703	2	multi-organism reproductive process
GO:0045450	2	bicoid mRNA localization
GO:0045729	2	respiratory burst at fertilization
GO:0046595	2	establishment of pole plasm mRNA localization
GO:0048359	2	mucilage metabolic process involved in seed coat development
GO:0048497	2	maintenance of floral organ identity
GO:0048544	2	recognition of pollen
GO:0048573	2	photoperiodism, flowering
GO:0048609	2	multicellular organismal reproductive process
GO:0051037	2	regulation of transcription involved in meiotic cell cycle
GO:0051321	2	meiotic cell cycle
GO:0051663	2	oocyte nucleus localization involved in oocyte dorsal/ventral axis specification
GO:0060011	2	Sertoli cell proliferation
GO:0060466	2	activation of meiosis involved in egg activation
GO:0060468	2	prevention of polyspermy
GO:0060469	2	positive regulation of transcription involved in egg activation
GO:0060470	2	positive regulation of cytosolic calcium ion concentration involved in egg activation
GO:0060471	2	cortical granule exocytosis
GO:0060474	2	positive regulation of flagellated sperm motility involved in capacitation
GO:0060475	2	positive regulation of actin filament polymerization involved in acrosome reaction
GO:0060476	2	protein localization involved in acrosome reaction
GO:0060478	2	acrosomal vesicle exocytosis
GO:0060518	2	cell migration involved in prostatic bud elongation
GO:0060519	2	cell adhesion involved in prostatic bud elongation
GO:0060673	2	cell-cell signaling involved in placenta development
GO:0060710	2	chorio-allantoic fusion
GO:0060738	2	epithelial-mesenchymal signaling involved in prostate gland development
GO:0060739	2	mesenchymal-epithelial cell signaling involved in prostate gland development
GO:0060767	2	epithelial cell proliferation involved in prostate gland development
GO:0060781	2	mesenchymal cell proliferation involved in prostate gland development
GO:0060783	2	mesenchymal smoothened signaling pathway involved in prostate gland development
GO:0060858	2	vesicle-mediated transport involved in floral organ abscission
GO:0060869	2	transmembrane receptor protein serine/threonine kinase signaling pathway involved in floral organ abscission
GO:0060870	2	cell wall disassembly involved in floral organ abscission
GO:0061450	2	trophoblast cell migration
GO:0061500	2	gene conversion at mating-type locus, termination of copy-synthesis
GO:0061883	2	clathrin-dependent endocytosis involved in vitellogenesis
GO:0061948	2	premature acrosome loss
GO:0061955	2	positive regulation of actin filament depolymerization involved in acrosome reaction
GO:0070871	2	cell wall organization involved in conjugation with cellular fusion
GO:0071507	2	pheromone response MAPK cascade
GO:0071508	2	activation of MAPK activity involved in conjugation with cellular fusion
GO:0071509	2	activation of MAPKK activity involved in conjugation with cellular fusion
GO:0071510	2	activation of MAPKKK activity involved in conjugation with cellular fusion
GO:0071511	2	inactivation of MAPK activity involved in conjugation with cellular fusion
GO:0072409	2	detection of stimulus involved in meiotic cell cycle checkpoint
GO:0090220	2	chromosome localization to nuclear envelope involved in homologous chromosome segregation
GO:1902064	2	regulation of transcription from RNA polymerase II promoter involved in spermatogenesis
GO:1902397	2	detection of stimulus involved in meiotic spindle checkpoint
GO:1902441	2	protein localization to meiotic spindle pole body
GO:1903046	2	meiotic cell cycle process
GO:2000241	2	regulation of reproductive process
GO:2000242	2	negative regulation of reproductive process
GO:2000243	2	positive regulation of reproductive process
GO:0007155	2	cell adhesion
GO:0022608	2	multicellular organism adhesion
GO:0044406	2	adhesion of symbiont to host
GO:0090675	2	intermicrovillar adhesion
GO:0007267	2	cell-cell signaling
GO:0021807	2	motogenic signaling initiating cell movement in cerebral cortex
GO:0021837	2	motogenic signaling involved in postnatal olfactory bulb interneuron migration
GO:0021838	2	motogenic signaling involved in interneuron migration from the subpallium to the cortex
GO:0023051	2	regulation of signaling
GO:0023056	2	positive regulation of signaling
GO:0023057	2	negative regulation of signaling
GO:0035426	2	extracellular matrix-cell signaling
GO:0035637	2	multicellular organismal signaling
GO:0001503	2	ossification
GO:0001763	2	morphogenesis of a branching structure
GO:0001816	2	cytokine production
GO:0002021	2	response to dietary excess
GO:0002532	2	production of molecular mediator involved in inflammatory response
GO:0003008	2	system process
GO:0003053	2	circadian regulation of heart rate
GO:0007275	2	multicellular organism development
GO:0007389	2	pattern specification process
GO:0007585	2	respiratory gaseous exchange
GO:0007586	2	digestion
GO:0008340	2	determination of adult lifespan
GO:0009561	2	megagametogenesis
GO:0009791	2	post-embryonic development
GO:0009845	2	seed germination
GO:0010022	2	meristem determinacy
GO:0010073	2	meristem maintenance
GO:0010162	2	seed dormancy process
GO:0010232	2	vascular transport
GO:0016203	2	muscle attachment
GO:0019827	2	stem cell population maintenance
GO:0022004	2	midbrain-hindbrain boundary maturation during brain development
GO:0022005	2	midbrain-hindbrain boundary maturation during neural plate development
GO:0022404	2	molting cycle process
GO:0030431	2	sleep
GO:0030588	2	pseudocleavage
GO:0031424	2	keratinization
GO:0032898	2	neurotrophin production
GO:0032922	2	circadian regulation of gene expression
GO:0032941	2	secretion by tissue
GO:0033555	2	multicellular organismal response to stress
GO:0034381	2	plasma lipoprotein particle clearance
GO:0035073	2	pupariation
GO:0035074	2	pupation
GO:0035264	2	multicellular organism growth
GO:0035265	2	organ growth
GO:0035314	2	scab formation
GO:0035889	2	otolith tethering
GO:0036363	2	transforming growth factor beta activation
GO:0042303	2	molting cycle
GO:0043480	2	pigment accumulation in tissues
GO:0044706	2	multi-multicellular organism process
GO:0045494	2	photoreceptor cell maintenance
GO:0048647	2	polyphenic determination
GO:0048771	2	tissue remodeling
GO:0048871	2	multicellular organismal homeostasis
GO:0050817	2	coagulation
GO:0050879	2	multicellular organismal movement
GO:0051239	2	regulation of multicellular organismal process
GO:0051240	2	positive regulation of multicellular organismal process
GO:0051241	2	negative regulation of multicellular organismal process
GO:0055046	2	microgametogenesis
GO:0055127	2	vibrational conductance of sound to the inner ear
GO:0060384	2	innervation
GO:0071684	2	organism emergence from protective structure
GO:0071827	2	plasma lipoprotein particle organization
GO:0090130	2	tissue migration
GO:0090664	2	response to high population density
GO:0097167	2	circadian regulation of translation
GO:0097207	2	bud dormancy process
GO:0097242	2	amyloid-beta clearance
GO:1990110	2	callus formation
GO:0009653	2	anatomical structure morphogenesis
GO:0007568	2	aging
GO:0007571	2	age-dependent general metabolic decline
GO:0009838	2	abscission
GO:0009847	2	spore germination
GO:0010014	2	meristem initiation
GO:0048646	2	anatomical structure formation involved in morphogenesis
GO:0021700	2	developmental maturation
GO:0022611	2	dormancy process
GO:0031128	2	developmental induction
GO:0097737	2	acquisition of mycelium reproductive competence
GO:0043696	2	dedifferentiation
GO:0043934	2	sporulation
GO:0044111	2	development involved in symbiotic interaction
GO:0048532	2	anatomical structure arrangement
GO:0048856	2	anatomical structure development
GO:0050793	2	regulation of developmental process
GO:0051093	2	negative regulation of developmental process
GO:0051094	2	positive regulation of developmental process
GO:0060033	2	anatomical structure regression
GO:0090644	2	age-related resistance
GO:0098727	2	maintenance of cell number
GO:0031987	2	locomotion involved in locomotory behavior
GO:0033058	2	directional locomotion
GO:0036268	2	swimming
GO:0040012	2	regulation of locomotion
GO:0040013	2	negative regulation of locomotion
GO:0040017	2	positive regulation of locomotion
GO:0042330	2	taxis
GO:0048870	2	cell motility
GO:0051821	2	dissemination or transmission of organism from other organism involved in symbiotic interaction
GO:0052192	2	movement in environment of other organism involved in symbiotic interaction
GO:0060361	2	flight
GO:0071965	2	multicellular organismal locomotion
GO:0033060	2	ocellus pigmentation
GO:0043474	2	pigment metabolic process involved in pigmentation
GO:0043476	2	pigment accumulation
GO:0048066	2	developmental pigmentation
GO:0022403	2	cell cycle phase
GO:0022601	2	menstrual cycle phase
GO:0044851	2	hair cycle phase
GO:0060206	2	estrous cycle phase
GO:0072690	2	single-celled organism vegetative growth phase
GO:0007623	2	circadian rhythm
GO:0007624	2	ultradian rhythm
GO:0042698	2	ovulation cycle
GO:0042753	2	positive regulation of circadian rhythm
GO:0043902	2	positive regulation of multi-organism process
GO:0044089	2	positive regulation of cellular component biogenesis
GO:0045760	2	positive regulation of action potential
GO:0045785	2	positive regulation of cell adhesion
GO:0048087	2	positive regulation of developmental pigmentation
GO:0048584	2	positive regulation of response to stimulus
GO:0051050	2	positive regulation of transport
GO:0051091	2	positive regulation of DNA-binding transcription factor activity
GO:0051919	2	positive regulation of fibrinolysis
GO:0060301	2	positive regulation of cytokine activity
GO:1900048	2	positive regulation of hemostasis
GO:1900097	2	positive regulation of dosage compensation by inactivation of X chromosome
GO:1900454	2	positive regulation of long-term synaptic depression
GO:1902474	2	positive regulation of protein localization to synapse
GO:1902632	2	positive regulation of membrane hyperpolarization
GO:1902685	2	positive regulation of receptor localization to synapse
GO:1903549	2	positive regulation of growth hormone activity
GO:1903666	2	positive regulation of asexual reproduction
GO:1903829	2	positive regulation of cellular protein localization
GO:1904181	2	positive regulation of membrane depolarization
GO:1904582	2	positive regulation of intracellular mRNA localization
GO:1904704	2	positive regulation of protein localization to cell-cell adherens junction
GO:1904874	2	positive regulation of telomerase RNA localization to Cajal body
GO:1904912	2	positive regulation of establishment of RNA localization to telomere
GO:1904915	2	positive regulation of establishment of protein-containing complex localization to telomere
GO:1904951	2	positive regulation of establishment of protein localization
GO:1905099	2	positive regulation of guanyl-nucleotide exchange factor activity
GO:1905339	2	positive regulation of cohesin unloading
GO:1905514	2	positive regulation of short-term synaptic potentiation
GO:1905605	2	positive regulation of maintenance of permeability of blood-brain barrier
GO:1905954	2	positive regulation of lipid localization
GO:2000199	2	positive regulation of ribonucleoprotein complex localization
GO:0034260	2	negative regulation of GTPase activity
GO:0042754	2	negative regulation of circadian rhythm
GO:0043433	2	negative regulation of DNA-binding transcription factor activity
GO:0043901	2	negative regulation of multi-organism process
GO:0045759	2	negative regulation of action potential
GO:0048086	2	negative regulation of developmental pigmentation
GO:0048585	2	negative regulation of response to stimulus
GO:0051051	2	negative regulation of transport
GO:0051918	2	negative regulation of fibrinolysis
GO:0060302	2	negative regulation of cytokine activity
GO:0110066	2	negative regulation of interphase mitotic telomere clustering
GO:1900047	2	negative regulation of hemostasis
GO:1900096	2	negative regulation of dosage compensation by inactivation of X chromosome
GO:1900272	2	negative regulation of long-term synaptic potentiation
GO:1900453	2	negative regulation of long-term synaptic depression
GO:1902631	2	negative regulation of membrane hyperpolarization
GO:1902684	2	negative regulation of receptor localization to synapse
GO:1902886	2	negative regulation of proteasome-activating ATPase activity
GO:1903548	2	negative regulation of growth hormone activity
GO:1903665	2	negative regulation of asexual reproduction
GO:1903828	2	negative regulation of cellular protein localization
GO:1904180	2	negative regulation of membrane depolarization
GO:1904537	2	negative regulation of mitotic telomere tethering at nuclear periphery
GO:1904581	2	negative regulation of intracellular mRNA localization
GO:1904703	2	negative regulation of protein localization to cell-cell adherens junction
GO:1904873	2	negative regulation of telomerase RNA localization to Cajal body
GO:1904911	2	negative regulation of establishment of RNA localization to telomere
GO:1904914	2	negative regulation of establishment of protein-containing complex localization to telomere
GO:1904950	2	negative regulation of establishment of protein localization
GO:1905098	2	negative regulation of guanyl-nucleotide exchange factor activity
GO:1905338	2	negative regulation of cohesin unloading
GO:1905385	2	negative regulation of protein localization to presynapse
GO:1905513	2	negative regulation of short-term synaptic potentiation
GO:1905604	2	negative regulation of maintenance of permeability of blood-brain barrier
GO:1905869	2	negative regulation of 3'-UTR-mediated mRNA stabilization
GO:1905953	2	negative regulation of lipid localization
GO:2000198	2	negative regulation of ribonucleoprotein complex localization
GO:2000326	2	negative regulation of nuclear receptor transcription coactivator activity
GO:0030155	2	regulation of cell adhesion
GO:0032879	2	regulation of localization
GO:0042752	2	regulation of circadian rhythm
GO:0043900	2	regulation of multi-organism process
GO:0044087	2	regulation of cellular component biogenesis
GO:0048070	2	regulation of developmental pigmentation
GO:0048583	2	regulation of response to stimulus
GO:0071898	2	regulation of estrogen receptor binding
GO:0097006	2	regulation of plasma lipoprotein particle levels
GO:0098900	2	regulation of action potential
GO:1900046	2	regulation of hemostasis
GO:1902630	2	regulation of membrane hyperpolarization
GO:1903664	2	regulation of asexual reproduction
GO:1905097	2	regulation of guanyl-nucleotide exchange factor activity
GO:1905603	2	regulation of maintenance of permeability of blood-brain barrier
GO:0006950	2	response to stress
GO:0009605	2	response to external stimulus
GO:0009607	2	response to biotic stimulus
GO:0009628	2	response to abiotic stimulus
GO:0009719	2	response to endogenous stimulus
GO:0014823	2	response to activity
GO:0014854	2	response to inactivity
GO:0014874	2	response to stimulus involved in regulation of muscle adaptation
GO:0042221	2	response to chemical
GO:0043500	2	muscle adaptation
GO:0043627	2	response to estrogen
GO:0051606	2	detection of stimulus
GO:0051775	2	response to redox state
GO:0072376	2	protein activation cascade
GO:0031503	2	protein-containing complex localization
GO:0033036	2	macromolecule localization
GO:0035732	2	nitric oxide storage
GO:0036214	2	contractile ring localization
GO:0051234	2	establishment of localization
GO:0051235	2	maintenance of location
GO:0051641	2	cellular localization
GO:0051674	2	localization of cell
GO:0061842	2	microtubule organizing center localization
GO:1902579	2	multi-organism localization
GO:0051707	2	response to other organism
GO:0044366	2	feeding on or from other organism
GO:0044419	2	interspecies interaction between organisms
GO:0051703	2	intraspecies interaction between organisms
GO:0051816	2	acquisition of nutrients from other organism during symbiotic interaction
GO:0098630	2	aggregation of unicellular organisms
GO:0098740	2	multi organism cell adhesion
GO:0065008	2	regulation of biological quality
GO:0065009	2	regulation of molecular function
GO:0044085	2	cellular component biogenesis
GO:0001502	2	cartilage condensation
GO:0009407	2	toxin catabolic process
GO:0010127	2	mycothiol-dependent detoxification
GO:0010312	2	detoxification of zinc ion
GO:0051410	2	detoxification of nitrogen compound
GO:0061687	2	detoxification of inorganic compound
GO:0071722	2	detoxification of arsenic-containing substance
GO:0000747	3	conjugation with cellular fusion
GO:0000909	3	sporocarp development involved in sexual reproduction
GO:0007276	3	gamete generation
GO:0007618	3	mating
GO:0034293	3	sexual sporulation
GO:0140084	3	sexual macrocyst formation
GO:0000905	3	sporocarp development involved in asexual reproduction
GO:0007114	3	cell budding
GO:0030436	3	asexual sporulation
GO:0097736	3	aerial mycelium formation
GO:0097738	3	substrate mycelium formation
GO:0048624	3	plantlet formation on parent plant
GO:0006069	3	ethanol oxidation
GO:0006116	3	NADH oxidation
GO:0022900	3	electron transport chain
GO:0006151	3	xanthine oxidation
GO:0006735	3	NADH regeneration
GO:0006740	3	NADPH regeneration
GO:0006788	3	heme oxidation
GO:0009444	3	pyruvate oxidation
GO:0010241	3	ent-kaurene oxidation to kaurenoic acid
GO:0015944	3	formate oxidation
GO:0015946	3	methanol oxidation
GO:0015975	3	energy derivation by oxidation of reduced inorganic compounds
GO:0015980	3	energy derivation by oxidation of organic compounds
GO:0018158	3	protein oxidation
GO:0019293	3	tyrosine biosynthetic process, by oxidation of phenylalanine
GO:0019329	3	ammonia oxidation
GO:0019399	3	cyclohexanol oxidation
GO:0019416	3	polythionate oxidation
GO:0019417	3	sulfur oxidation
GO:0019418	3	sulfide oxidation
GO:0019419	3	sulfate reduction
GO:0019479	3	L-alanine oxidation to D-lactate and ammonia
GO:0019480	3	L-alanine oxidation to pyruvate via D-alanine
GO:0019498	3	n-octane oxidation
GO:0019516	3	lactate oxidation
GO:0019561	3	anaerobic phenylalanine oxidation
GO:0019600	3	toluene oxidation
GO:0034440	3	lipid oxidation
GO:0042161	3	lipoprotein oxidation
GO:0042964	3	thioredoxin reduction
GO:0070277	3	iodide oxidation
GO:0070989	3	oxidative demethylation
GO:0070995	3	NADPH oxidation
GO:0071615	3	oxidative deethylation
GO:0018887	3	4-carboxy-4'-sulfoazobenzene metabolic process
GO:0018916	3	nitrobenzene metabolic process
GO:0018937	3	nitroglycerin metabolic process
GO:0018952	3	parathion metabolic process
GO:0018954	3	pentaerythritol tetranitrate metabolic process
GO:0018960	3	4-nitrophenol metabolic process
GO:0019326	3	nitrotoluene metabolic process
GO:0019330	3	aldoxime metabolic process
GO:0019666	3	nitrogenous compound fermentation
GO:0034641	3	cellular nitrogen compound metabolic process
GO:0051171	3	regulation of nitrogen compound metabolic process
GO:0051172	3	negative regulation of nitrogen compound metabolic process
GO:0051173	3	positive regulation of nitrogen compound metabolic process
GO:0071941	3	nitrogen cycle metabolic process
GO:0097164	3	ammonium ion metabolic process
GO:1901150	3	vistamycin metabolic process
GO:1901564	3	organonitrogen compound metabolic process
GO:2001057	3	reactive nitrogen species metabolic process
GO:0009894	3	regulation of catabolic process
GO:0009895	3	negative regulation of catabolic process
GO:0009896	3	positive regulation of catabolic process
GO:0030574	3	collagen catabolic process
GO:0042447	3	hormone catabolic process
GO:0044035	3	multi-organism catabolic process
GO:0044248	3	cellular catabolic process
GO:0044282	3	small molecule catabolic process
GO:0046045	3	TMP catabolic process
GO:0090487	3	secondary metabolite catabolic process
GO:1901276	3	tartrate catabolic process
GO:1901575	3	organic substance catabolic process
GO:1901903	3	tyrocidine catabolic process
GO:0002927	3	archaeosine-tRNA biosynthetic process
GO:0008612	3	peptidyl-lysine modification to peptidyl-hypusine
GO:0006723	3	cuticle hydrocarbon biosynthetic process
GO:0009889	3	regulation of biosynthetic process
GO:0009890	3	negative regulation of biosynthetic process
GO:0009891	3	positive regulation of biosynthetic process
GO:0032964	3	collagen biosynthetic process
